name,icao_code
Air Croatia,M-HR-2269
Air Cruzal,CRJ
Air Cudlua,CUD
Air Cuenca,M-EC-1536
Air Dabia,M-GM-2149
Air Data,AFS
Air Dilijans,M-AM-96
Air Division of the Eastern Kazakhstan Region,UCK
Air Djibouti,
Air Dominicana,M-DO-1498
Air Dorval,ADT
Air East,M-US-5221
Air EC,
Air Ecosse,M-GB-2046
Air Efata,M-ID-2334
Air Emilia,M-IT-2712
Air Engiadina,M-CH-948
Air Engiadina-BRN,RQX
Air England,M-GB-2043
Air Este,EET
Air Europe,M-IT-2713
Air Europe Express,
Air Evans,VAE
Air Evex Westfalia,
Air Exchange,EXG
Air Exel,M-FR-1917
Air Exel,M-BE-423
Air Exel,M-NL-3695
Air Exel Commuter,M-NL-3696
Air Exel Netherlands,M-NL-3697
Air Express,AEJ
Air Express,M-SE-4508
Air Express,M-TZ-5000
Air Faisal,
Air Falcon,FLD
Air Fecteau,AFH
Air Fiji,M-FJ-1842
Air Finland,M-FI-1804
Air Fleets International,M-US-5222
Air France,M-FR-1918
Air Fret De Mauritanie,FMT
Air Gabon Cargo,M-GA-1994
Air Gava,M-CA-804
Air Gemini,GLL
Air Georgia,GRG
Air Georgian,M-CA-805
Air Global,M-PT-4080
Air Go Airlines,
Air Go Egypt,M-EG-1610
Air Great Wall,CGW
Air Greece,
Air Guadeloupe,M-GP-2170
Air Guam,AGM
Air Guinée,M-GN-2164
Air Guinée Express,M-GN-2165
Air Guinee Express,GIP
Air Guinée International,M-GN-2166
Air Gulf Falcon,M-SZ-4731
Air Guyane,M-GF-2114
Air Guyane Express,M-GF-2115
Air Hamilton,M-BM-538
Air Hanson,
Air Harrods,
Air Hawaii,M-US-5225
Air Hawaii,M-US-5226
Air Hokkaido,M-JP-2859
Air Holiday,M-US-5227
Air Holland,M-NL-3698
Air Holland,M-NL-3699
Air Holland,M-NL-3700
Air Hollandia,M-NL-3701
Air Horizons,M-FR-1919
Air Hudik,M-SE-4509
Air Illinois,AIL
Air Incheon,M-KR-3037
Air Independence,M-DE-1329
Air Independence GmbH,M-DE-1368
Air India,M-IN-2547
Air Indies,M-PR-4058
Air Indus,AI0
Air Industria,M-IT-2714
Air Integra,AII
Air Inter,M-FR-1920
Air Inter Cameroon,M-CM-1072
Air Inter Cameroun,ICM
Air Inter Congo,M-CG-934
Air Inter Europe,M-FR-1921
Air Inter Gabon,AIG
Air Inter Ivoire,NTV
Air Inter1,M-TD-4743
Air Italica,M-IT-2715
Air Italy Egypt,EUD
Air Italy Polska,
Air ITM,MQT
Air Jamahiriya,LJA
Air Jamaica Express,JMX
Air Japan,M-JP-2860
Air Jet,M-FR-1922
Air Jetsul,AJU
Air Kangaroo Island,M-AU-278
Air Kazakhstan,KZK
Air Kazakstan,M-KZ-3070
Air KG,M-KG-2968
Air Kilroe,M-GB-2048
Air Kiribati,M-KI-3020
Air Kirovograd,KAD
Air Kissari,KSI
Air Klaipeda,KLD
Air Kokshetau,KRT
Air Korea Co. Ltd.,KEA
Air Kraft Mir,KFT
Air Kufra,KAV
Air LA,UED
Air Lanka,M-LK-3133
Air Lazur,LZR
Air Leap,M-SE-4510
Air Leone,RLL
Air Lesotho,M-LS-3148
Air Lib,M-FR-1923
Air Liberia,
Air Libert,
Air Liberte,M-FR-1924
