IATA,ICAO,FAA,Name,Country,Location,Elevation,Latitude,Longitude,Chart,Website,Wikipedia,Airport Type,ISO Country
NTL,YWLM,,Newcastle Airport (Williamtown),Australia,Williamtown,31 feet,-32.7949981689,151.8339996338,,,https://en.wikipedia.org/wiki/Newcastle_Airport_(New_South_Wales),Large Airport,AU
DPS,WADD,,Ngurah Rai International Airport,Indonesia,"Kuta, Badung",14 feet,-8.7481698990,115.1669998169,,https://www.bali-airport.com,https://en.wikipedia.org/wiki/Ngurah_Rai_International_Airport,Large Airport,ID
NGB,ZSNB,,Ningbo Lishe International Airport,China,Ningbo,13 feet,29.8267002106,121.4619979858,/charts/ZSNB.pdf,,https://en.wikipedia.org/wiki/Ningbo_Lishe_International_Airport,Large Airport,CN
HAN,VVNB,,Noi Bai International Airport,Viet Nam,Hanoi (Soc Son),39 feet,21.2212009430,105.8069992065,,,https://en.wikipedia.org/wiki/Noi_Bai_International_Airport,Large Airport,VN
OEC,WPOC,,Oecussi Airport,Timor-Leste,Oecussi-Ambeno,,-9.1980600357,124.3430023193,,,https://en.wikipedia.org/wiki/Oecusse_Airport,Large Airport,TL
DSN,ZBDS,,Ordos Ejin Horo Airport,China,Ordos,4557 feet,39.4900000000,109.8613888890,,,https://en.wikipedia.org/wiki/Ordos_Ejin_Horo_International_Airport,Large Airport,CN
ZYL,VGSY,,Osmany International Airport,Bangladesh,Sylhet,50 feet,24.9631996155,91.8667984009,,,https://en.wikipedia.org/wiki/Osmani_International_Airport,Large Airport,BD
PKZ,VLPS,,Pakse International Airport,Laos,Pakse,351 feet,15.1321001053,105.7809982300,,,https://en.wikipedia.org/wiki/Pakse_International_Airport,Large Airport,LA
PBH,VQPR,,Paro Airport,Bhutan,Paro,"7,332 feet",27.4032001495,89.4245986938,,https://www.paroairport.com,https://en.wikipedia.org/wiki/Paro_Airport,Large Airport,BT
AMQ,WAPP,,Pattimura Airport,Indonesia,Ambon,33 feet,-3.7102599144,128.0890045166,,,https://en.wikipedia.org/wiki/Pattimura_International_Airport,Large Airport,ID
PEN,WMKP,,Penang International Airport,Malaysia,Penang,11 feet,5.2971401215,100.2770004272,,,https://en.wikipedia.org/wiki/Penang_International_Airport,Large Airport,MY
PER,YPPH,,Perth Airport,Australia,Perth,67 feet,-31.9402999878,115.9670028687,,https://www.perthairport.com.au,https://en.wikipedia.org/wiki/Perth_Airport,Large Airport,AU
PQC,VVPQ,,Phu Quoc Airport,Viet Nam,Phu Quoc Island,37 feet,10.2270002365,103.9670028690,,,https://en.wikipedia.org/wiki/Phu_Quoc_International_Airport,Large Airport,VN
HKT,VTSP,,Phuket International Airport,Thailand,Phuket,82 feet,8.1132001877,98.3169021606,,,https://en.wikipedia.org/wiki/Phuket_International_Airport,Large Airport,TH
PHE,YPPD,,Port Hedland International Airport,Australia,Port Hedland,33 feet,-20.3777999878,118.6259994510,,,https://en.wikipedia.org/wiki/Port_Hedland_International_Airport,Large Airport,AU
DIL,WPDL,,Presidente Nicolau Lobato International Airport,Timor-Leste,Dili,25 feet,-8.5464000702,125.5260009770,,,https://en.wikipedia.org/wiki/Presidente_Nicolau_Lobato_International_Airport,Large Airport,TL
TAO,ZSQD,,Qingdao Liuting International Airport,China,Qingdao (Jiaozhou),33 feet,36.2661018372,120.3740005490,/charts/ZSQD.pdf,,https://en.wikipedia.org/wiki/Qingdao_Liuting_International_Airport,Large Airport,CN
NDG,ZYQQ,,Qiqihar Sanjiazi Airport,China,Qiqihar,477 feet,47.2396011353,123.9179992676,/charts/ZYQQ.pdf,,https://en.wikipedia.org/wiki/Qiqihar_Sanjiazi_Airport,Large Airport,CN
JJN,ZSQZ,,Quanzhou Airport,China,Quanzhou,39 feet,24.8833330000,118.6000000000,,,,Large Airport,CN
ATQ,VIAR,,Raja Sansi International Airport,India,Amritsar,756 feet,31.7096004486,74.7973022461,,,https://en.wikipedia.org/wiki/Sri_Guru_Ram_Dass_Jee_International_Airport,Large Airport,IN
HYD,VOHS,,Rajiv Gandhi International Airport,India,Hyderabad,"1,968 feet",17.2288610000,78.4328470000,,https://www.hyderabad.aero,https://en.wikipedia.org/wiki/Rajiv_Gandhi_International_Airport,Large Airport,IN
MDC,WAMM,,Sam Ratulangi International Airport,Indonesia,Manado,264 feet,1.5492600203,124.9260025024,,,https://en.wikipedia.org/wiki/Sam_Ratulangi_International_Airport,Large Airport,ID
USM,VTSM,,Samui Airport,Thailand,Na Thon (Ko Samui Island),64 feet,9.5477895737,100.0619964600,,,https://en.wikipedia.org/wiki/Samui_Airport,Large Airport,TH
SYX,ZJSY,,Sanya Fenghuang International Airport,China,Sanya (Tianya),92 feet,18.3029003143,109.4120025635,/charts/ZJSY.pdf,,https://en.wikipedia.org/wiki/Sanya_Phoenix_International_Airport,Large Airport,CN
DJJ,WAJJ,,Sentani Airport,Indonesia,Sentani,289 feet,-2.5769500732,140.5160064697,,,https://en.wikipedia.org/wiki/Dortheys_Hiyo_Eluay_International_Airport,Large Airport,ID
BPN,WALL,,Sepinggan International Airport,Indonesia,Balikpapan,12 feet,-1.2682700157,116.8939971924,,,https://en.wikipedia.org/wiki/Sultan_Aji_Muhammad_Sulaiman_Sepinggan_Airport,Large Airport,ID
CGP,VGEG,,Shah Amanat International Airport,Bangladesh,Chattogram (Chittagong),12 feet,22.2495994568,91.8133010864,,,https://en.wikipedia.org/wiki/Shah_Amanat_International_Airport,Large Airport,BD
SHA,ZSSS,,Shanghai Hongqiao International Airport,China,Shanghai (Minhang),10 feet,31.1979007721,121.3359985352,/charts/ZSSS.pdf,https://www.shanghaiairport.com/index_enhqjc.html,https://en.wikipedia.org/wiki/Shanghai_Hongqiao_International_Airport,Large Airport,CN
PVG,ZSPD,,Shanghai Pudong International Airport,China,Shanghai (Pudong),23 feet,31.1434001923,121.8050003052,/charts/ZSPD.pdf,https://www.shanghaiairport.com/index_enpdjc.html,https://en.wikipedia.org/wiki/Shanghai_Pudong_International_Airport,Large Airport,CN
SWA,ZGOW,,Shantou Waisha Airport,China,Jieyang (Rongcheng),,23.4269008636,116.7620010376,,,https://en.wikipedia.org/wiki/Jieyang_Chaoshan_International_Airport,Large Airport,CN
SXR,VISR,,"Sheikh Ul Alam International Airport, Srinagar, India",India,Srinagar,"5,429 feet",33.9870986938,74.7742004395,,,https://en.wikipedia.org/wiki/Sheikh_ul-Alam_International_Airport,Large Airport,IN
SHE,ZYTX,,Shenyang Taoxian International Airport,China,Shenyang,198 feet,41.6398010254,123.4830017090,/charts/ZYTX.pdf,,https://en.wikipedia.org/wiki/Shenyang_Taoxian_International_Airport,Large Airport,CN
SZX,ZGSZ,,Shenzhen Bao'an International Airport,China,Shenzhen,13 feet,22.6392993927,113.8109970093,/charts/ZGSZ.pdf,http://www.szairport.com,https://en.wikipedia.org/wiki/Shenzhen_Bao'an_International_Airport,Large Airport,CN
SJW,ZBSJ,,Shijiazhuang Daguocun International Airport,China,Shijiazhuang,233 feet,38.2807006836,114.6969985962,/charts/ZBSJ.pdf,,https://en.wikipedia.org/wiki/Shijiazhuang_Zhengding_International_Airport,Large Airport,CN
SIN,WSSS,,Singapore Changi Airport,Singapore,Singapore,22 feet,1.3501900434,103.9940032959,/charts/WSSS.pdf,https://www.changiairport.com,https://en.wikipedia.org/wiki/Singapore_Changi_Airport,Large Airport,SG
CGK,WIII,,Soekarno-Hatta International Airport,Indonesia,Jakarta,34 feet,-6.1255698204,106.6559982300,,https://soekarnohatta-airport.co.id,https://en.wikipedia.org/wiki/Soekarno–Hatta_International_Airport,Large Airport,ID
SZB,WMSA,,Sultan Abdul Aziz Shah Airport,Malaysia,Subang,90 feet,3.1305799484,101.5490036011,,,https://en.wikipedia.org/wiki/Sultan_Abdul_Aziz_Shah_Airport,Large Airport,MY
