Name,IATA,ICAO,HQ,Bases,Destinations,Callsign,Country Code,Website,Key Personnel,Employees,Revenue,Profit,Fleet Size,Fleet Type,Destination Names,Alliance,Frequent Flyer Programs,Codeshare Agreements,Interline Agreements,Founded,Operating Bases,Parent Company,Focus Cities,Subsidiaries,Careers Link,Wikipedia URL
Turkmenistan Airlines,T5,TUA,"Ashgabat Airport , Ashgabat , Turkmenistan",Ashgabat International Airport; Turkmenabat International Airport; Turkmenabat Airport ; Turkmenbashi Airport,25,TURKMENISTAN,,turkmenistanairlines.tm,"Dovran Saburov, CEO",,,,26,,China: Beijing (PEK)  Beijing Capital International Airport; Shenzhen: Shenzhen International Airport  Cargo; rmqi: rmqi Diwopu International Airport  Terminated; Germany: Frankfurt (FRA)  Frankfurt Airport; Delhi: Indira Gandhi International Airport  Passenger; Italy: Milan (MXP)  Milan Malpensa Airport; Malaysia: Kuala Lumpur (KUL)  Kuala Lumpur International Airport; Russia: Kazan (KZN)  abdulla Tuqay Kazan International Airport; Moscow: Moscow Domodedovo Airport  Suspended; Saint Petersburg: Pulkovo Airport  Terminated; Saudi Arabia: Jeddah (JED)  King Abdulaziz International Airport; Medina: Prince Mohammad bin Abdulaziz International Airport  Seasonal; South Korea: Seoul (ICN)  Incheon International Airport; Thailand: Bangkok (BKK)  Suvarnabhumi Airport; Erzurum: Erzurum Airport  Terminated; Istanbul: Atatrk Airport  Airport closed; Turkmenistan: Agabat (ASB)  Agabat International Airport; Balkanabat: Balkanabat International Airport  Passenger; Daoguz: Daoguz Airport  Passenger + cargo; Kerki: Kerki Airport  Passenger; Mary: Mary International Airport  Passenger + cargo; Trkmenabat: Trkmenabat International Airport  Passenger + cargo; Trkmenbay: Trkmenbay International Airport  Suspended; United Arab Emirates: Abu Dhabi (AUH)  Zayed International Airport; Dubai: Al Maktoum International Airport  Cargo; Manchester: Manchester Airport  Terminated; London: Gatwick Airport  Passenger; Vietnam: Hanoi (HAN)  Noi Bai International Airport; Ho Chi Minh City: Tan Son Nhat International Airport  Passenger,,,,,4 May 92,Ashgabat International Airport; Turkmenabat International Airport; Turkmenabat Airport ; Turkmenbashi Airport,,,,,https://en.wikipedia.org/wiki/Turkmenistan_Airlines
Turpial Airlines,V9,VTU,"Valencia, Venezuela",Arturo Michelena International Airport,0,TURPIAL,,www .turpialairlines .com,,,,,2,,Colombia: Bogot (BOG)  El Dorado International Airport; Cuba: Holgun (HOG)  Frank Pas Airport; Havana: Jos Mart International Airport  Charter; Santo Domingo: Las Amricas International Airport  Suspended; Panama: Panama City (PTY)  Tocumen International Airport; Venezuela: Barcelona (BLA)  General Jos Antonio Anzotegui International Airport; Valencia: Arturo Michelena International Airport  Hub,,,,,"March 15, 2016; April 7, 2017",Arturo Michelena International Airport,,,,,https://en.wikipedia.org/wiki/Turpial_Airlines
Tus Airways,U8,CYF,"Larnaca , Cyprus",Larnaca International Airport; Ben Gurion Airport,10,TUS AIR,,tusairways .com,Kenneth Woolley ; Michael Weinstein ; Tami Mosez-Borovitz,,,,3,,Austria: Vienna (VIE)  Vienna Airport; Bulgaria: Sofia (SOF)  Sofia Airport; Cyprus: Larnaca (LCA)  Larnaca International Airport; Paphos: Paphos International Airport  Hub; Czech Republic: Prague (PRG)  Vclav Havel Airport Prague; France: Paris (CDG)  Charles de Gaulle Airport; Germany: Dsseldorf (DUS)  Dsseldorf Airport; Greece: Athens (ATH)  Athens International Airport; Chania: Chania International Airport  Seasonal; Corfu: Corfu International Airport  Seasonal; Kefalonia: Kefalonia International Airport  Seasonal; Preveza / Lefkada: Aktion National Airport  Seasonal; Rhodes: Rhodes International Airport  Seasonal; Tel Aviv: Ben Gurion Airport  Focus city; Italy: Bergamo (BGY)  Milan Bergamo Airport; Jordan: Amman (AMM)  Queen Alia International Airport; Slovakia: Bratislava (BTS)  M. R. tefnik Airport; Koice: Koice Airport  Seasonal; Spain: Barcelona (BCN)  Josep Tarradellas BarcelonaEl Prat Airport; United Arab Emirates: Dubai (DXB)  Dubai International Airport,,,,,June 2015 ( 2015-06 ); 14 February 2016 ( 2016-02-14 ),Larnaca International Airport; Ben Gurion Airport,,,,,https://en.wikipedia.org/wiki/TUS_Airways
Twin Jet,T7,TJT,"Aix-en-Provence , France",Marseille Provence Airport ; LyonSaint Exupry Airport ; Toulouse-Blagnac Airport,16,TWINJET,,twinjet.fr,Olivier Manaut ; Eric Moret,,,,13,,,,Flying Blue,,,2001,Marseille Provence Airport ; LyonSaint Exupry Airport ; Toulouse-Blagnac Airport,,,,,https://en.wikipedia.org/wiki/Twin_Jet
Uganda Airlines,UR,UGD,"Entebbe , Wakiso District , Uganda",Entebbe International Airport,17,CRESTED,,www .ugandairlines .com,Priscilla Mirembe Serukka ( chairperson ) ; Girma Wake ( Acting CEO ) ; Shakila Rahim Lamar ; (Head of PR & Corporate Commnicaations),517 (2024),,,7,,Burundi: Bujumbura (BJM)  Bujumbura International Airport; China: Guangzhou (CAN)  Guangzhou Baiyun International Airport; Democratic Republic of the Congo: Goma (GOM)  Goma International Airport; Egypt: Cairo (CAI)  Cairo International Airport; India: Mumbai (BOM)  Chhatrapati Shivaji Maharaj International Airport; Ghana: Accra (ACC)  Accra International Airport; Kenya: Mombasa (MBA)  Moi International Airport; Nigeria: Abuja (ABV)  Nnamdi Azikiwe International Airport; Somalia: Mogadishu (MGQ)  Aden Adde International Airport; South Africa: Cape Town (CPT)  Cape Town International Airport; Saudi Arabia: Jeddah (JED)  King Abdulaziz International Airport; Riyadh: King Khalid International Airport  Coming soon; South Sudan: Juba (JUB)  Juba International Airport; Sudan: Khartoum (KRT)  Khartoum International Airport; Tanzania: Dar es Salaam (DAR)  Julius Nyerere International Airport; Turkey: Istanbul (IST)  Istanbul Airport; Uganda: Entebbe (EBB)  Entebbe International Airport; United Arab Emirates: Abu Dhabi (AUH)  Zayed International Airport; United Kingdom: London (LGW)  Gatwick Airport; Zambia: Lusaka (LUN)  Kenneth Kaunda International Airport; Zimbabwe: Harare (HRE)  Robert Gabriel Mugabe International Airport,,Craneflyer,,,30 January 2018 ( 2018-01-30 ); 28 August 2019 ( 2019-08-28 ),Entebbe International Airport,,,,,https://en.wikipedia.org/wiki/Uganda_Airlines
Ukraine International Airlines,PS,AUI,"Kyiv , Ukraine",KyivBoryspil,0,UKRAINE INTERNATIONAL,,,,,,,6,,,,Panorama Club,,,29 October 1992; 1994,KyivBoryspil,,,,,https://en.wikipedia.org/wiki/Ukraine_International_Airlines
Ulendo Airlink,7Q,NYS,"Lilongwe , Malawi",Kamuzu International Airport,9,ULENDO,,www .flynyasa .net,,50,,,0,,,,,,,2011,Kamuzu International Airport,,,,,https://en.wikipedia.org/wiki/FlyNyasa
ULS Airlines Cargo,GO,KZU,"Istanbul , Turkey",Istanbul Airport,6,UNIVERSAL CARGO,,ulsairlines.com,,,,,5,,,,,,,2004,Istanbul Airport,,,,,https://en.wikipedia.org/wiki/ULS_Airlines_Cargo
Uni Air,B7,UIA,"Zhongshan , Taipei, Taiwan",TaipeiSongshan; Kaohsiung ; Taichung,15,GLORY,,www .uniair .com .tw,Peter Chen ( President ) ; Chang Kuo-Wei ( Chairman ),,,,15,,"Australia: Brisbane (BNE)  Brisbane Airport; Melbourne: Melbourne Airport  Terminated; Sydney: Sydney Airport  Terminated; Austria: Vienna (VIE)  Vienna International Airport; Canada: Toronto (YYZ)  Toronto Pearson International Airport; Vancouver: Vancouver International Airport  Passenger; China: Beijing (PEK)  Beijing Capital International Airport; Chengdu: Chengdu Shuangliu International Airport  Terminated; Chongqing: Chongqing Jiangbei International Airport  Passenger + cargo; Dalian: Dalian Zhoushuizi International Airport  Passenger; Guangzhou: Guangzhou Baiyun International Airport  Passenger + cargo; Guilin: Guilin Liangjiang International Airport  Passenger; Haikou: Haikou Meilan International Airport  Terminated; Hailar: Hulunbuir Hailar Airport  Terminated; Hangzhou: Hangzhou Xiaoshan International Airport  Passenger; Harbin: Harbin Taiping International Airport  Terminated; Hohhot: Hohhot Baita International Airport  Terminated; Huangshan: Huangshan Tunxi International Airport  Terminated; Jinan: Jinan Yaoqiang International Airport  Passenger; Kunming: Kunming Wujiaba International Airport  Airport closed; Ningbo: Ningbo Lishe International Airport  Passenger; Shanghai: Shanghai Hongqiao International Airport  Passenger; Shenzhen: Shenzhen Bao'an International Airport  Passenger + cargo; Taiyuan: Taiyuan Wusu International Airport  Terminated; Tianjin: Tianjin Binhai International Airport  Passenger; Xiamen: Xiamen Gaoqi International Airport  Terminated; Zhengzhou: Zhengzhou Xinzheng International Airport  Passenger; France: Paris (CDG)  Charles de Gaulle Airport; Germany: Munich (MUC)  Munich Airport; Hong Kong: Hong Kong (HKG)  Hong Kong International Airport; Indonesia: Denpasar (DPS)  Ngurah Rai International Airport; Jakarta: SoekarnoHatta International Airport  Passenger; Surabaya: Juanda International Airport  Terminated; Italy: Milan (MXP)  Milan Malpensa Airport; Japan: Aomori (AOJ)  Aomori Airport; Asahikawa: Asahikawa Airport  Seasonal; Fukuoka: Fukuoka Airport  Passenger; Hakodate: Hakodate Airport  Terminated; Kobe: Kobe Airport  Passenger; Komatsu: Komatsu Airport  Passenger; Matsuyama: Matsuyama Airport  Passenger; Miyazaki: Miyazaki Airport  Terminated; Nagoya: Chubu Centrair International Airport  Terminated; Okayama: Okayama Airport  Terminated; Okinawa: Naha Airport  Passenger; Osaka: Kansai International Airport  Passenger + cargo; Sapporo: New Chitose Airport  Passenger; Sendai: Sendai Airport  Passenger; Tokyo: Haneda Airport  Passenger; Macau: Macau (MFM)  Macau International Airport; Malaysia: Kuala Lumpur (KUL)  Kuala Lumpur International Airport; Penang: Penang International Airport  Cargo; Netherlands: Amsterdam (AMS)  Amsterdam Airport Schiphol; Christchurch: Christchurch Airport  Terminated; Philippines: Cebu (CEB)  MactanCebu International Airport; Clark: Clark International Airport  Passenger; Manila: Ninoy Aquino International Airport  Passenger; Singapore: Singapore (SIN)  Changi Airport; South Korea: Busan (PUS)  Gimhae International Airport; Seoul: Gimpo International Airport  Passenger; Taiwan: Kaohsiung (KHH)  Kaohsiung International Airport; Taichung: Taichung International Airport  Passenger; Taipei: Songshan Airport  Focus city; Chiang Mai: Chiang Mai International Airport  Passenger; Phuket: Phuket International Airport  Passenger; United Kingdom: London (LHR)  Heathrow Airport; United States: Anchorage (ANC)  Ted Stevens Anchorage International Airport; Atlanta: HartsfieldJackson Atlanta International Airport  Cargo; Boston: Logan International Airport  Cargo; Chicago: O'Hare International Airport  Passenger + cargo; Dallas: Dallas Fort Worth International Airport  Passenger + cargo; Honolulu: Daniel K. Inouye International Airport  Terminated; Houston: George Bush Intercontinental Airport  Passenger; Los Angeles: Los Angeles International Airport  Passenger + cargo; Newark: Newark Liberty International Airport  Terminated; New York City: John F. Kennedy International Airport  Passenger; San Francisco: San Francisco International Airport  Passenger; Seattle: SeattleTacoma International Airport  Passenger; Washington, D.C.: Dulles International Airport  Begins July 7, 2026; Vietnam: Da Nang (DAD)  Da Nang International Airport; Hanoi: Noi Bai International Airport  Passenger + cargo; Ho Chi Minh City: Tan Son Nhat International Airport  Passenger + cargo",,Infinity MileageLands,,,"1988 ( 1988 ) (as Makung International Airlines ); March 12, 1996 ( 1996-03-12 ) (as UNI Air )",TaipeiSongshan; Kaohsiung ; Taichung,,,,,https://en.wikipedia.org/wiki/Uni_Air
Unique Air,-,UQA,""" Diamanten "" ; Fornebu , Norway",Alicante ; Barcelona (seasonal base) ; Bergen ; Copenhagen ; Helsinki ; Las Palmas ; Mlaga ; Oslo ; Palma de Mallorca (seasonal base) ; Riga ; StockholmArlanda,0,UNICARGO,,www .norwegian .com,Geir Karlsen ( CEO ) ; Svein Harald ygard ( Chairman ),,$1.96 billion (2022),$105 million (2022),0,,,,Norwegian Reward,,,22 January 1993 ( 1993-01-22 ),Alicante ; Barcelona (seasonal base) ; Bergen ; Copenhagen ; Helsinki ; Las Palmas ; Mlaga ; Oslo ; Palma de Mallorca (seasonal base) ; Riga ; StockholmArlanda,,,,,https://en.wikipedia.org/wiki/Norwegian_Air_Shuttle
United Airlines,UA,UAL,"Willis Tower , Chicago , Illinois, United States",ChicagoO'Hare ; Denver ; Guam ; HoustonIntercontinental ; Los Angeles ; Newark ; San Francisco ; WashingtonDulles,462,UNITED,,www .united .com,Scott Kirby ( CEO ) ; Edward Philip ( chairman ) ; Brett Hart ( president ),"113,200 (2025)",US$ 59.1 billion (2025),US$3.4 billion (2025),1110,,"Antigua and Barbuda: Coolidge (ANU)  V. C. Bird International Airport; Argentina: Autonomous City of Buenos Aires  Buenos Aires; Aruba: Oranjestad (AUA)  Queen Beatrix International Airport; Australia: New South Wales  Sydney; Queensland: Brisbane (BNE)  Brisbane Airport; Cairns: Cairns Airport  Terminated; South Australia: Adelaide (ADL)  Adelaide Airport; Victoria: Melbourne (MEL)  Melbourne Airport; Bahamas: Nassau (NAS)  Lynden Pindling International Airport; Barbados: Bridgetown (BGI)  Grantley Adams International Airport; Belgium: Brussels (BRU)  Brussels Airport; Belize: Belize City (BZE)  Philip S. W. Goldson International Airport; Bermuda: Hamilton (BDA)  L.F. Wade International Airport; Bonaire: Kralendijk (BON)  Flamingo International Airport; Brazil: Minas Gerais  Belo Horizonte; Rio de Janeiro: Rio de Janeiro (GIG)  Rio de Janeiro/Galeo International Airport; So Paulo: So Paulo (GRU)  So Paulo/Guarulhos International Airport; Canada: Alberta  Calgary; British Columbia: Vancouver (YVR)  Vancouver International Airport; Manitoba: Winnipeg (YWG)  Winnipeg James Armstrong Richardson International Airport; Nova Scotia: Halifax (YHZ)  Halifax Stanfield International Airport; Quebec: Montreal (YUL)  MontralTrudeau International Airport; Ontario: Toronto (YYZ)  Toronto Pearson International Airport; Cayman Islands: Grand Cayman  George Town; Chile: Santiago (SCL)  Arturo Merino Bentez International Airport; China: Beijing (PEK)  Beijing Capital International Airport; Chengdu: Chengdu Shuangliu International Airport  Terminated; Hangzhou: Hangzhou Xiaoshan International Airport  Terminated; Xi'an: Xi'an Xianyang International Airport  Terminated; Colombia: Bogot (BOG)  El Dorado International Airport; Costa Rica: Liberia (LIR)  Daniel Oduber Quirs International Airport; Croatia: Dubrovnik (DBV)  Dubrovnik Airport; Split: Split Airport  Seasonal; Curaao: Willemstad (CUR)  Curaao International Airport; Dominican Republic: Puerto Plata (POP)  Gregorio Lupern International Airport; Ecuador: Quito (UIO)  Mariscal Sucre International Airport; El Salvador: San Salvador (SAL)  El Salvador International Airport; Federated States of Micronesia: Chuuk  Weno; Kosrae: Tafunsak (KSA)  Kosrae International Airport; Pohnpei: Palikir (PNI)  Pohnpei International Airport; Yap: Colonia (YAP)  Yap International Airport; France: Nice (NCE)  Nice Cte d'Azur Airport; French Polynesia: Tahiti  Papeete; Germany: Baden-Wrttemberg  Stuttgart; Bavaria: Munich (MUC)  Munich Airport; Berlin: Berlin (BER)  Berlin Brandenburg Airport; Hesse: Frankfurt (FRA)  Frankfurt Airport; Ghana: Accra (ACC)  Accra International Airport; Greece: Athens (ATH)  Athens International Airport; Greenland: Nuuk (GOH)  Nuuk Airport; Guatemala: Guatemala City (GUA)  La Aurora International Airport; Honduras: Roatn (RTB)  Juan Manuel Glvez International Airport; Hong Kong: Hong Kong (HKG)  Hong Kong International Airport (Chek Lap Kok); Iceland: Reykjavk (KEF)  Keflavk International Airport; India: Maharashtra  Mumbai; National Capital Territory: Delhi (DEL)  Indira Gandhi International Airport; Ireland: Dublin (DUB)  Dublin Airport; Shannon: Shannon Airport  Seasonal; Israel: Tel Aviv (TLV)  Ben Gurion Airport; Italy: Apulia  Bari; Campania: Naples (NAP)  Naples International Airport; Lazio: Rome (FCO)  Leonardo da VinciFiumicino Airport; Lombardy: Milan (MXP)  Milan Malpensa Airport; Sicily: Palermo (PMO)  Palermo Airport; Veneto: Venice (VCE)  Venice Marco Polo Airport; Jamaica: Montego Bay (MBJ)  Sangster International Airport; Hiroshima: Hiroshima Airport  Terminated; Naha: Naha Airport  Terminated; Niigata: Niigata Airport  Terminated; Okayama: Okayama Airport  Terminated; Sapporo: New Chitose Airport  Terminated; Sendai: Sendai Airport  Terminated; Marshall Islands: Kwajalein (KWA)  Bucholz Army Airfield; Mexico: Quertaro  Quertaro; Baja California Sur: San Jos del Cabo (SJD)  Los Cabos International Airport; Distrito Federal: Mexico City (MEX)  Mexico City International Airport; Guanajuato: Len (BJX)  Bajo International Airport; Ixtapa: Ixtapa-Zihuatanejo International Airport  Seasonal; Jalisco: Guadalajara (GDL)  Guadalajara International Airport; Nuevo Leon: Monterrey (MTY)  Monterrey International Airport; Quintana Roo: Cancn (CUN)  Cancn International Airport; Yucatn: Mrida (MID)  Mrida International Airport; Veracruz: Veracruz (VER)  Veracruz International Airport; Mongolia: Ulaanbaatar (UBN)  Chinggis Khaan International Airport; Morocco: Marrakesh (RAK)  Marrakesh Menara Airport; Netherlands: Amsterdam (AMS)  Amsterdam Airport Schiphol; New Zealand: Auckland (AKL)  Auckland Airport; Christchurch: Christchurch Airport  Seasonal; Nicaragua: Managua (MGA)  Augusto C. Sandino International Airport; Nigeria: Lagos  Lagos; Oslo: Oslo Gardermoen Airport  Terminated; Palau: Koror (ROR)  Roman Tmetuchl International Airport; Panama: Panama City (PTY)  Tocumen International Airport; Peru: Lima (LIM)  Jorge Chvez International Airport; Philippines: Cebu (CEB)  MactanCebu International Airport; Portugal: Faro (FAO)  Faro Airport; Ponta Delgada: Ponta Delgada Airport  Seasonal; Porto: Francisco S Carneiro Airport  Seasonal; Russia: Moscow  Moscow; Saint Lucia: Vieux Fort (UVF)  Hewanorra International Airport; Jeddah: King Abdulaziz International Airport  Terminated; Riyadh: King Khalid International Airport  Terminated; Singapore: Singapore (SIN)  Changi Airport; Sint Maarten: Philipsburg (SXM)  Princess Juliana International Airport; South Africa: Gauteng  Johannesburg; Western Cape: Cape Town (CPT)  Cape Town International Airport; Spain: Andalusia  Mlaga; Balearic Islands: Palma de Mallorca (PMI)  Palma de Mallorca Airport; Basque Country: Bilbao (BIO)  Bilbao Airport; Catalonia: Barcelona (BCN)  Josep Tarradellas BarcelonaEl Prat Airport; Community of Madrid: Madrid (MAD)  Adolfo Surez MadridBarajas Airport; Galicia: Santiago de Compostela (SCQ)  SantiagoRosala de Castro Airport; St. Kitts and Nevis: Saint Kitts  Basseterre; Sweden: Stockholm (ARN)  Stockholm Arlanda Airport; Switzerland: Geneva  Geneva; Zrich: Zrich (ZRH)  Zrich Airport; Taiwan: Kaohsiung (KHH)  Kaohsiung International Airport; Trinidad and Tobago: Port of Spain (POS)  Piarco International Airport; Turks and Caicos Islands: Providenciales (PLS)  Providenciales International Airport; United Arab Emirates: Dubai  Dubai; United Kingdom: England  Birmingham; Manchester: Manchester Airport  Terminated; Newcastle upon Tyne: Newcastle Airport  Terminated; Scotland: Edinburgh (EDI)  Edinburgh Airport; Glasgow: Glasgow Airport  Seasonal; United States: Alabama  Birmingham; Alaska: Anchorage (ANC)  Ted Stevens Anchorage International Airport; Fairbanks: Fairbanks International Airport  Seasonal; Arizona: Phoenix (PHX)  Phoenix Sky Harbor International Airport; California: Burbank (BUR)  Bob Hope Airport; Los Angeles: Los Angeles International Airport  Hub; Oakland: Oakland International Airport  Terminated; San Francisco: San Francisco International Airport  Hub; Colorado: Colorado Springs (COS)  Colorado Springs Airport; Denver: Denver International Airport  Hub; Montrose: Montrose Regional Airport  Seasonal; Connecticut: Hartford (BDL)  Bradley International Airport; District of Columbia: Washington, D.C. (DCA)  Ronald Reagan Washington National Airport; Florida: Fort Lauderdale (FLL)  Fort LauderdaleHollywood International Airport; Panama City: Northwest Florida Beaches International Airport  Seasonal; Georgia: Atlanta (ATL)  HartsfieldJackson Atlanta International Airport; Guam: Hagta (GUM)  Antonio B. Won Pat International Airport; Hawaii: Honolulu (HNL)  Daniel K. Inouye International Airport; Idaho: Boise (BOI)  Boise Airport; Illinois: Chicago (ORD)  O'Hare International Airport; Indiana: Indianapolis (IND)  Indianapolis International Airport; Iowa: Cedar Rapids (CID)  Eastern Iowa Airport; Kansas: Wichita (ICT)  Wichita Dwight D. Eisenhower National Airport; Kentucky: Cincinnati / Covington (CVG)  Cincinnati/Northern Kentucky International Airport; Louisiana: New Orleans (MSY)  Louis Armstrong New Orleans International Airport; Maine: Portland (PWM)  Portland International Jetport; Maryland: Baltimore (BWI)  Baltimore/Washington International Airport; Massachusetts: Boston (BOS)  Logan International Airport; Michigan: Detroit (DTW)  Detroit Metropolitan Airport; Rochester: Rochester International Airport  Terminated; Missouri: Kansas City (MCI)  Kansas City International Airport; Montana: Billings (BIL)  Billings Logan International Airport; Nebraska: Omaha (OMA)  Eppley Airfield; Nevada: Las Vegas (LAS)  Harry Reid International Airport; New Hampshire: Manchester (MHT)  ManchesterBoston Regional Airport; New Jersey: Newark (EWR)  Newark Airport; New Mexico: Albuquerque (ABQ)  Albuquerque International Sunport; New York: Albany (ALB)  Albany International Airport; New York City: John F. Kennedy International Airport  Terminated; North Carolina: Charlotte (CLT)  Charlotte Douglas International Airport; Northern Mariana Islands: Saipan (SPN)  Francisco C. Ada International Airport; Ohio: Cleveland (CLE)  Cleveland Hopkins International Airport; Dayton: Dayton International Airport  Terminated; Oklahoma: Oklahoma City (OKC)  Will Rogers World Airport; Oregon: Eugene (EUG)  Eugene Airport; Pennsylvania: Harrisburg (MDT)  Harrisburg International Airport; Puerto Rico: Aguadilla (BQN)  Rafael Hernndez Airport; Rhode Island: Providence (PVD)  Rhode Island T. F. Green International Airport; South Carolina: Charleston (CHS)  Charleston International Airport; South Dakota: Rapid City (RAP)  Rapid City Regional Airport; Tennessee: Knoxville (TYS)  McGhee Tyson Airport; Texas: Austin (AUS)  AustinBergstrom International Airport; Houston: George Bush Intercontinental Airport  Hub; U.S. Virgin Islands: Saint Thomas (STT)  Cyril E. King Airport; Utah: Salt Lake City (SLC)  Salt Lake City International Airport; Vermont: Burlington (BTV)  Burlington International Airport; Wisconsin: Madison (MSN)  Dane County Regional Airport; Wyoming: Jackson Hole (JAC)  Jackson Hole Airport; Venezuela: Capital District  Caracas; Vietnam: Ho Chi Minh City (SGN)  Tan Son Nhat International Airport",Star Alliance,MileagePlus,,,"April 6, 1926 ( 1926-04-06 ) as Varney Air Lines in Boise, Idaho; March 28, 1931 ( 1931-03-28 )",ChicagoO'Hare ; Denver ; Guam ; HoustonIntercontinental ; Los Angeles ; Newark ; San Francisco ; WashingtonDulles,,,,,https://en.wikipedia.org/wiki/United_Airlines
United Arab Emirates Air Force,-,UAF,,,0,,,,,,,,78,,,,,,,1968 ( 1968 ),,,,,,https://en.wikipedia.org/wiki/United_Arab_Emirates_Air_Force
United Nigeria Airlines,U5,UNA,Enugu,"Enugu International Airport; Abuja , Lagos",15,UNITED NIGERIA,,flyunitednigeria .com,"Prof. Obiorah Okonkwo ( Chairman ), Adedayo Olawuyi ( CCO )",,,,7,,Nigeria: Abuja (ABV)  Nnamdi Azikiwe International Airport; Enugu: Akanu Ibiam International Airport  Hub; Ghana: Accra  Kotoka International Airport,,,,,2020,"Enugu International Airport; Abuja , Lagos",,,,,https://en.wikipedia.org/wiki/United_Nigeria_Airlines
United States Air Force,-,AIO,"The Pentagon ; Arlington County, Virginia , U.S.",,0,,,af.mil ; airforce.com,,,,,2635,,,,,,,"18 September 1947 ; (78 years, 8 months)",,,,,,https://en.wikipedia.org/wiki/United_States_Air_Force
United States Navy,-,CNV,"The Pentagon ; Arlington County, Virginia , U.S.",,0,CONVOY,,navy.mil ; navy.com,,,,,999,,,,,,,"March 27, 1794 ( 1794-03-27 ) ; (in current form) October 13, 1775 ( 1775-10-13 ) ; (as the Continental Navy )",,,,,,https://en.wikipedia.org/wiki/United_States_Navy
United States Transportation Command,-,CMB,"Scott Air Force Base , Illinois , U.S.",,0,,,www.ustranscom.mil,,,,,0,,,,,,,,,,,,,https://en.wikipedia.org/wiki/United_States_Transportation_Command
Universal Air,VO,UVL,"Luqa, Malta",Malta International Airport,0,UNIVERSALAIR,,flyuniversalair.com,,110,,,0,,,,,,,,Malta International Airport,,,,,https://en.wikipedia.org/wiki/Universal_Air
UniWorld Air Cargo,U7,UCG,,,0,UNIWORLD,,tocumenpanama.aero,,,,,0,,Argentina: Buenos Aires (EZE)  Ministro Pistarini International Airport; Chile: Santiago (SCL)  Arturo Merino Bentez International Airport; Colombia: Bogot (BOG)  El Dorado International Airport; Costa Rica: San Jos (SJO)  Juan Santamara International Airport; Cuba: Havana (HAV)  Jos Mart International Airport; Dominican Republic: Punta Cana (PUJ)  Punta Cana International Airport; Ecuador: Quito (UIO)  Mariscal Sucre International Airport; Guayaquil: Jos Joaqun de Olmedo International Airport  Terminated; El Salvador: San Salvador (SAL)  El Salvador International Airport; France: Paris (CDG)  Charles de Gaulle Airport; Guatemala: Guatemala City (GUA)  La Aurora International Airport; Italy: Rome (FCO)  Leonardo da VinciFiumicino Airport; Japan: Tokyo (NRT)  Narita International Airport; Mexico: Acapulco (ACA)  Acapulco International Airport; Guadalajara: Guadalajara International Airport  Hub; Mexico City: Mexico City International Airport  Hub; Netherlands: Amsterdam (AMS)  Amsterdam Airport Schiphol; Nicaragua: Managua (MGA)  Augusto C. Sandino International Airport; Panama: Panama City (PTY)  Tocumen International Airport; Peru: Lima (LIM)  Jorge Chvez International Airport; South Korea: Seoul (ICN)  Incheon International Airport; Spain: Barcelona (BCN)  Josep Tarradellas BarcelonaEl Prat Airport; United Kingdom: London (LHR)  Heathrow Airport; Atlanta: HartsfieldJackson Atlanta International Airport  Terminated; Brownsville: Brownsville/South Padre Island International Airport  Terminated; Detroit: Detroit Metropolitan Airport  Terminated; Laredo: Laredo International Airport  Terminated; New Orleans: Louis Armstrong New Orleans International Airport  Terminated; Portland: Portland International Airport  Terminated; San Diego: San Diego International Airport  Terminated; San Jose: San Jose International Airport  Terminated; Tucson: Tucson International Airport  Terminated; Honduras: San Pedro Sula (SAP)  Ramn Villeda Morales International Airport; Ciudad Victoria: Ciudad Victoria International Airport  Terminated; Poza Rica: El Tajn National Airport  Terminated; Puebla: Puebla International Airport  Terminated; Saltillo: Saltillo Airport  Terminated; Toluca: Toluca International Airport  Terminated; United States: Atlanta (ATL)  HartsfieldJackson Atlanta International Airport; Chicago: O'Hare International Airport  Terminated; Denver: Denver International Airport  Terminated; Las Vegas: Harry Reid International Airport  Terminated; New York City: John F. Kennedy International Airport  Terminated; Orlando: Orlando International Airport  Terminated,,,,,,,,,,,https://en.wikipedia.org/wiki/Tocumen_International_Airport
UPS Airlines,5X,UPS,"Louisville, Kentucky , US",Worldport ; Louisville ; United States ; Anchorage ; Columbia (SC) ; ChicagoRockford ; Dallas/Fort Worth ; Miami ; Ontario (CA) ; Philadelphia ; SeattleBoeing ; International hubs ; Clark ; Cologne/Bonn ; East Midlands ; Istanbul ; Hamilton (ON) ; Hong Kong ; Kuala LumpurInternational ; San Juan ; ShanghaiPudong ; Shenzhen,0,UPS,,www .ups .com,Jim Joseph ( President ),"26,328",,,278,,,,,,,"July 13, 1988 ( 1988-07-13 )",Worldport ; Louisville ; United States ; Anchorage ; Columbia (SC) ; ChicagoRockford ; Dallas/Fort Worth ; Miami ; Ontario (CA) ; Philadelphia ; SeattleBoeing ; International hubs ; Clark ; Cologne/Bonn ; East Midlands ; Istanbul ; Hamilton (ON) ; Hong Kong ; Kuala LumpurInternational ; San Juan ; ShanghaiPudong ; Shenzhen,,,,,https://en.wikipedia.org/wiki/UPS_Airlines
