Operator,Registration,Aircraft Type,MSN,Update Type,Status/Notes
Volaris,XA-VSI,Airbus A320 (320-271N),9410,New,Delivery 09/11/2021  Ex JetSMART CC-AWM
Volaris,XA-VSD,Airbus A320 (320-271N),9563,New,Delivery 28/10/2021
Voyageur Airways,C-FWWU,Canadair RJ (CRJ-200LR),7299,Update,Back in service 11/2021
Vueling Airlines,EC-LZZ,Airbus A320 (320-214),2620,Update,Back in service 10/2021
Vueling Airlines,EC-MGE,Airbus A320 (320-232),6607,Update,Back in service 10/2021
Vueling Airlines,EI-DUZ,Airbus A330 (330-302),847,New,Delivery 08/11/2021  Ex Aer Lingus EI-DUZ
Wamos Air,EC-NOF,Airbus A330 (330-343X),741,New,Delivery 20/10/2021
Wamos Air,EC-NOG,Airbus A330 (330-343E),786,New,Delivery 05/11/2021
Wamos Air,EC-NHM,Airbus A330 (330-343X),935,Update,Parked since 10/2021
West Air China,B-9969,Airbus A320 (320-232),6023,Update,Back in service 10/2021
West Air China,B-321S,Airbus A321 (321-211),7348,Update,Back in service 10/2021
West Atlantic (UK),G-JMCP,Boeing 737 (737-3T0SF),23578 (1358),Update,Parked since 10/2021
West Atlantic (UK),G-JMCT,Boeing 737 (737-3Y0F),24546 (1811),Update,Back in service 11/2021
Westair Aviation,V5-WIN,Embraer 135/145 (145LR),285,Delete,To FlyNamibia as V5-WIN 01/11/2021
Westair Aviation,V5-WEJ,Embraer 135/145 (145MP),342,Delete,To FlyNamibia as V5-WEJ 01/11/2021
Western Global Airlines,N452SN,Boeing 747 (747-48EBDSF),25452 (892),Update,Parked since 10/2021
Western Global Airlines,N356KD,Boeing 747 (747-446BCF),26356 (1026),Update,Parked since 10/2021
Western Global Airlines,N411SN,Douglas MD-11 (MD-11 F),48411 (453),Update,Parked since 10/2021
Western Global Airlines,N543JN,Douglas MD-11 (MD-11 F),48543 (572),Update,Parked since 09/2021
Western Global Airlines,N545JN,Douglas MD-11 (MD-11 F),48545 (587),Update,Back in service 11/2021
Western Global Airlines,N783SN,Douglas MD-11 (MD-11 F),48783 (627),New,Delivery 07/11/2021
WestJet Airlines,C-GLWS,Boeing 737 NG / Max (737-76N),32581 (1009),Update,Back in service 11/2021
WestJet Airlines,C-GWCM,Boeing 737 NG / Max (737-7CT),32756 (1413),Update,Back in service 11/2021
WestJet Airlines,C-GWJF,Boeing 737 NG / Max (737-7CT),32766 (1599),Update,Back in service 11/2021
WestJet Airlines,C-GRWS,Boeing 737 NG / Max (737-76N),32881 (1155),Update,Back in service 11/2021
WestJet Airlines,C-GYSD,Boeing 737 NG / Max (737-8CT),40837 (5785),Delete,To Swoop as C-GYSD 15/11/2021
Weststar avn svcs,N977JG,Boeing 737 NG / Max (737-73Q(BBJ)),30789 (602),Update,Parked since 10/2021
Wideroe,LN-WFH,Dash 8 (DHC-8 311),238,Delete,To Trans Island Airways as C6-FUZ 29/10/2021
Wideroe,LN-WIF,Dash 8 (DHC-8 103),372,Update,Back in service 10/2021
Wideroe,LN-WII,Dash 8 (DHC-8 103),384,Update,Back in service 10/2021
Wideroe,LN-WDF,Dash 8 (DHC-8 402),4244,Update,Back in service 11/2021
Windrose Aviation,UR-DNT,Embraer 135/145 (145LR),709,Update,Parked since 09/2021
Wingo,HP-1713CMP,Boeing 737 NG / Max (737-8V3),40890 (3455),New,Delivery 27/10/2021  Ex COPA Airlines HP-1713CMP
Wings Air,PK-WJK,ATR 42/72 (72-600),1336,Update,Back in service 11/2021
Wings Air,PK-WFQ,ATR 42/72 (72-212A),943,Update,Back in service 10/2021
Wizz Air,HA-LPZ,Airbus A320 (320-232),4174,Delete,To Avion Express Malta as 9H-AMU 18/11/2021
Wizz Air,HA-LZC,Airbus A321 (321-271NX),10393,New,Delivery 17/11/2021
Wizz Air,HA-LZE,Airbus A321 (321-271NX),10480,New,Delivery 29/10/2021
Wizz Air,HA-LHU,Airbus A330 (330-243F),1578,Update,Back in service 11/2021
Wizz Air Abu Dhabi,A6-WZD,Airbus A321 (321-271NX),10391,Update,Back in service 11/2021
World Cargo Airline,9M-WCM,Boeing 737 (737-33RF),28869 (2887),New,Delivery 03/11/2021
World2fly,CS-WFP,Airbus A330 (330-343E),1097,New,Delivery 21/10/2021  Ex World2fly EC-LXR
World2fly,EC-LXR,Airbus A330 (330-343E),1097,Delete,To World2fly as CS-WFP 21/10/2021
Wumac Inc,N711WS,Canadair RJ (CRJ-200),7140,Update,Parked since 10/2021
Xfly,ES-ACP,Canadair RJ (CRJ-900ER),15242,Update,Back in service 11/2021
Xiamen Airlines,B-5602,Boeing 737 NG / Max (737-86N),36824 (3703),Update,Parked since 09/2021
Xiamen Airlines,B-1969,Boeing 737 NG / Max (737-85C),39902 (5005),Update,Parked since 10/2021
Xiamen Airlines,B-7197,Boeing 737 NG / Max (737-85C),42925 (5805),Update,Parked since 09/2021
Xiamen Airlines,B-2760,Boeing 787 (787-8),41540 (270),Update,Back in service 10/2021
Xiamen Airlines,B-2761,Boeing 787 (787-8),41541 (282),Update,Back in service 11/2021
Zagros Airlines,EP-ZAP,Airbus A320 (320-211),311,Update,Back in service 11/2021
Zimex Aviation,OE-HZB,ATR 42/72 (42-320),333,New,Delivery 13/10/2021  Ex Chalair Aviation F-HBCS
Zimex Aviation,HB-ALM,ATR 42/72 (72-202F),396,Update,Back in service 11/2021
ZYB Lily Jet,B-7695,Canadair RJ (CRJ-200ER),7268,Update,Back in service 11/2021
