Operator,Registration,Aircraft Type,MSN,Update Type,Status/Notes
JetBlue Airways,N523JB,Airbus A320 (320-232),1506,Update,Back in service 11/2021
JetBlue Airways,N584JB,Airbus A320 (320-232),2149,Update,Back in service 11/2021
JetBlue Airways,N657JB,Airbus A320 (320-232),3119,Update,Back in service 11/2021
JetBlue Airways,N3077J,Airbus A220 (220-371),55124,New,Delivery 29/10/2021
JetOneX,N373JX,Boeing 747 (747-409),33735 (1354),New,Delivery 06/11/2021
JetSMART,CC-AWM,Airbus A320 (320-271N),9410,Delete,To Volaris as XA-VSI 09/11/2021
Jetstar,VH-VFY,Airbus A320 (320-232),6362,Update,Back in service 11/2021
Jetstar,VH-VWX,Airbus A321 (321-231),3899,Update,Back in service 11/2021
Jetstar,VH-VWW,Airbus A321 (321-231),3916,Update,Back in service 10/2021
Jetstar,VH-VKJ,Boeing 787 (787-8),36236 (278),Update,Back in service 11/2021
Jetstar Asia,9V-JSP,Airbus A320 (320-232),5323,Update,Back in service 11/2021
Joe Gibbs Racing,N520JG,Canadair RJ (CRJ-701),10052,Update,Parked since 10/2021
Joe Gibbs Racing,N519JG,Canadair RJ (CRJ-700),10217,Update,Parked since 10/2021
Jordan Aviation,JY-JVA,Airbus A330 (330-243),409,Update,Back in service 10/2021
Juneyao Airlines,B-326J,Airbus A320 (320-271N),10578,New,Delivery 04/11/2021
Juneyao Airlines,B-6618,Airbus A320 (320-214),4102,Update,Parked since 10/2021
Juneyao Airlines,B-208A,Boeing 787 (787-9),64314 (790),Update,Back in service 11/2021
Just Us Air,YR-URS,Airbus A319 (319-132),3614,Delete,To Dan Air as YR-URS 01/10/2021
K-Mile Asia,HS-KMC,Boeing 737 (737-4M0BDSF),29209 (3087),Update,Parked since 09/2021
K5 Aviation,D-AKAY,Airbus A350 (350-941CJ),443,Update,Parked since 09/2021
Kalitta Air,N743CK,Boeing 747 (747-446BCF),26350 (961),Update,Back in service 11/2021
Kalitta Air,N782CK,Boeing 747 (747-4HQERF),37304 (1419),Update,Parked since 10/2021
Karun Airlines,EP-NFA,Fokker 70/100 (F28-0100),11407,Update,Parked since 09/2021
KlasJet,LY-VTA,Canadair RJ (CRJ-200ER),7617,Update,Parked since 09/2021
KLM,PH-BGC,Boeing 737 NG / Max (737-8K2),30361 (2619),Update,Parked since 10/2021
KLM,PH-BGW,Boeing 737 NG / Max (737-7K2),38128 (3797),Update,Parked since 09/2021
KLM Cityhopper,PH-EZI,Embraer 190/195 (190STD),322,On order,Stored 10/2021
KLM Cityhopper,PH-EZK,Embraer 190/195 (190STD),326,Update,Stored 10/2021
KLM Cityhopper,PH-OFD,Fokker 70/100 (F28-0100),11259,Update,Scrapped in 2010
Korean Air,HL8212,Airbus A330 (330-223),1155,Update,Back in service 11/2021
Korean Air,HL8276,Airbus A330 (330-223),1393,Update,Back in service 11/2021
Korean Air,HL7708,Boeing 737 NG / Max (737-9B5),29993 (1208),Update,Back in service 11/2021
Korean Air,HL7784,Boeing 777 (777-3B5ER),37136 (823),Update,Back in service 10/2021
Krishnapatnam port company,VT-CKP,Embraer 135/145 (135BJ),1094,Delete,To Private as VT-CMR 01/11/2021
Kulula,ZS-ZWF,Boeing 737 NG / Max (737-8LD),40856 (5606),Update,Parked since 10/2021
Kuwait Airways,9K-APC,Airbus A330 (330-243),1653,Update,Back in service 11/2021
LAM Linhas Aereas De Mocambique,C9-BAR,Boeing 737 NG / Max (737-7Q8),30674 (1511),Update,Back in service 11/2021
LAM Linhas Aereas De Mocambique,C9-BAQ,Boeing 737 NG / Max (737-752),33792 (1571),Update,Back in service 11/2021
LATAM Argentina,LV-BRY,Airbus A320 (320-233),1351,Delete,To LATAM Chile as CC-COE 12/07/2021
LATAM Argentina,LV-FUX,Airbus A320 (320-233),4543,Delete,To LATAM Chile as CC-BAI 07/11/2021
LATAM Brasil,PR-MHA,Airbus A320 (320-214),2924,Update,Back in service 11/2021
LATAM Brasil,PR-TQB,Airbus A320 (320-214),4827,Update,Back in service 10/2021
LATAM Brasil,PR-TQC,Airbus A320 (320-214),4860,New,Delivery 24/10/2021  Ex Gulf Air A9C-AO
LATAM Brasil,PT-MOF,Boeing 767 (767-316ER),41997 (1055),Update,Stored 10/2021
LATAM Chile,CC-COE,Airbus A320 (320-233),1351,New,Delivery 12/07/2021  Ex LATAM Argentina LV-BRY
LATAM Chile,CC-COG,Airbus A320 (320-233),1491,New,Delivery 14/09/2021
LATAM Chile,CC-BAB,Airbus A320 (320-233),4400,Update,Back in service 11/2021
LATAM Chile,CC-BAI,Airbus A320 (320-233),4543,New,Delivery 07/11/2021  Ex LATAM Argentina LV-FUX
LATAM Chile,CC-BEQ,Airbus A321 (321-211),7119,Update,Back in service 11/2021
LATAM Chile,CC-CXI,Boeing 767 (767-316ER),37800 (984),Update,Back in service 10/2021
LATAM Chile,CC-BDB,Boeing 767 (767-316ER),40590 (1014),Update,Back in service 11/2021
LATAM Peru,CC-CPI,Airbus A319 (319-132),2585,Update,Back in service 11/2021
LATAM Peru,CC-CPM,Airbus A319 (319-132),2864,Update,Back in service 11/2021
Libyan Arab Airlines,5A-LAT,Airbus A330 (330-202),1505,Update,Back in service 10/2021
Lineage asset company,N527AH,Embraer 190/195 (190ECJ),691,Update,Parked since 10/2021
Lineas Aereas Suramericanas,HK-5385,Boeing 737 (737-48ESF),27632 (2857),New,Delivery 05/11/2021
Lion Air,PK-LEG,Airbus A330 (330-343E),1680,Update,Back in service 11/2021
Lion Air,PK-LEI,Airbus A330 (330-941N),1926,Update,Back in service 11/2021
Lion Air,PK-LET,Airbus A330 (330-941N),1939,Update,Back in service 11/2021
Lion Air,PK-LER,Airbus A330 (330-941N),1978,Update,Stored 09/2021
Lion Air,PK-LGU,Boeing 737 NG / Max (737-9GPER)35737 (3225),Update,Back in service 11/2021,
Lion Air,PK-LHY,Boeing 737 NG / Max (737-9GPER)37285 (3765),Update,Back in service 11/2021,
Lion Air,PK-LJI,Boeing 737 NG / Max (737-9GPER)38310 (3867),Update,Back in service 10/2021,
Lion Air,PK-LQT,Boeing 737 NG / Max (737-9GPER)38311 (3900),Update,Back in service 11/2021,
Lion Air,PK-LJV,Boeing 737 NG / Max (737-8GP),38721 (4077),Update,Back in service 11/2021
Loganair,G-LMTA,ATR 42/72 (72-600),1257,New,Delivery 24/10/2021
Loganair,G-LMRA,ATR 42/72 (42-500),490,Update,Parked since 10/2021
Loganair,G-LMRE,ATR 42/72 (42-500),606,New,Delivery 06/11/2021
Loganair,G-SAJC,Embraer 135/145 (145EP),280,Update,Back in service 10/2021
Loganair,G-GNTF,Saab 340 (340AF),113,Update,Parked since 10/2021
Loganair,G-LGNI,Saab 340 (340B),160,Update,Parked since 10/2021
Loganair,G-LGND,Saab 340 (340B),169,Update,Back in service 11/2021
Loganair,G-LGNJ,Saab 340 (340B),173,Update,Parked since 10/2021
Loganair,G-LGNK,Saab 340 (340B),185,Update,Parked since 10/2021
Loganair,G-LGNM,Saab 340 (340BF),187,Update,Parked since 10/2021
Loganair,G-LGNC,Saab 340 (340B),318,Update,Parked since 10/2021
Loganair,G-LGNG,Saab 340 (340B),327,Update,Parked since 10/2021
Loganair,G-GNTB,Saab 340 (340AF),82,Update,Parked since 10/2021
Loongair,B-325X,Airbus A321 (321-251NX),10418,New,Delivery 08/11/2021
Lufthansa,D-AILE,Airbus A319 (319-114),627,Update,Parked since 10/2021
Lufthansa,D-AISQ,Airbus A321 (321-231),3936,Update,Back in service 11/2021
Lufthansa,D-AISR,Airbus A321 (321-231),3987,Update,Back in service 11/2021
Lufthansa,D-AIST,Airbus A321 (321-231),4005,Update,Back in service 11/2021
Lufthansa,D-ABVM,Boeing 747 (747-430),29101 (1143),Update,Back in service 11/2021
Lufthansa,D-ABVZ,Boeing 747 (747-430),29870 (1264),Update,Back in service 11/2021
Lufthansa,D-ABTK,Boeing 747 (747-430),29871 (1293),Update,Back in service 10/2021
Lufthansa,D-ABYM,Boeing 747 (747-830),37837 (1494),Update,Parked since 10/2021
Lufthansa Cityline,D-ACKK,Canadair RJ (CRJ-900),15094,Update,Parked since 10/2021
Luke Air,9H-RTU,Airbus A330 (330-202),473,Update,Suspended operations on 27 oct 21
Luke Air,9H-PTN,Airbus A330 (330-202),489,Update,Suspended operations on 27 oct 21
Luxaviation,LX-OLA,Embraer 135/145 (135BJ),995,Update,Parked since 10/2021
Mahan Air,EP-MMH,Airbus A340 (340-642),391,Update,Parked since 09/2021
Malaysia Airlines,9M-MLH,Boeing 737 NG / Max (737-8FZ),31723 (3435),Update,Parked since 10/2021
Malaysia Airlines,9M-MLK,Boeing 737 NG / Max (737-8FZ),39321 (3778),Update,Back in service 11/2021
Malaysia Airlines,9M-MLL,Boeing 737 NG / Max (737-8FZ),39322 (3834),Update,Back in service 11/2021
Malaysia Airlines,9M-MLR,Boeing 737 NG / Max (737-8FZ),39328 (4257),Update,Parked since 09/2021
Malaysia Airlines,9M-MLT,Boeing 737 NG / Max (737-8H6),39334 (4656),Update,Back in service 11/2021
Malaysia Airlines,9M-MLU,Boeing 737 NG / Max (737-8H6),39940 (4872),Update,Parked since 10/2021
Malaysia Airlines,9M-MXN,Boeing 737 NG / Max (737-8H6),40141 (4287),Update,Back in service 10/2021
Maleth Aero,9H-MAC,Boeing 737 (737-548),24968 (1975),Update,Stored 07/2021
Malindo Air,9M-LMH,ATR 42/72 (72-600),1095,Update,Parked since 08/2021
Malindo Air,9M-LMK,ATR 42/72 (72-600),1130,Update,Parked since 09/2021
Malindo Air,9M-LGD,ATR 42/72 (72-600),1579,New,Delivery 25/03/2020  Ex Royal Brunei Airlines 9M-LGD
Malta Air,9H-VUH,Boeing 737 NG / Max (737-8MAX 200),62303 (7719),New,Delivery 03/11/2021
Malta Air,9H-VUO,Boeing 737 NG / Max (737-8MAX 200),65884 (8132),New,Delivery 26/10/2021
Malta Air,9H-VUQ,Boeing 737 NG / Max (737-8MAX 200),65885 (8137),New,Delivery 10/11/2021
Malta Air,9H-VUN,Boeing 737 NG / Max (737-8MAX 200),65886 (8130),New,Delivery 22/10/2021
Marcplan Charter,VH-VLT,Embraer 135/145 (135BJ),1107,Update,Back in service 11/2021
Max Air,5N-HMM,Boeing 747 (747-4B5),26409 (1170),Update,Back in service 10/2021
Meregrass Inc,N811BB,Saab 2000 (2000),28,Update,Parked since 10/2021
Meregrass Inc,N814BB,Saab 2000 (2000),34,Update,Parked since 10/2021
Mesa Airlines,N508MJ,Canadair RJ (CRJ-700),10087,Delete,To GoJet Airlines as N508MJ 08/10/2021
Mesa Airlines,N907FJ,Canadair RJ (CRJ-900),15007,Update,Parked since 09/2021
Mesa Airlines,N930LR,Canadair RJ (CRJ-900),15030,Update,Back in service 10/2021
Mesa Airlines,N932LR,Canadair RJ (CRJ-900),15032,Update,Parked since 10/2021
Mesa Airlines,N956LR,Canadair RJ (CRJ-900),15056,Update,Back in service 11/2021
Mesa Airlines,N951LR,Canadair RJ (CRJ-900ER),15123,Update,Parked since 09/2021
MGM Mirage,N785MM,Embraer 190/195 (190ECJ),709,Update,Parked since 10/2021
MJet,OE-LJG,Airbus A319 (319-115X(CJ)),4353,Update,Parked since 10/2021
MNG Airlines,TC-MCD,Airbus A300 (300-605RF),521,Update,Back in service 10/2021
MNG Airlines,TC-MCE,Airbus A300 (300-605RF),525,Update,Back in service 11/2021
MNG Airlines,TC-MCM,Airbus A330 (330-343X),879,New,Delivery 17/11/2021
Mocambique EXpresso,C9-AUZ,Dash 8 (DHC-8 402),4038,Update,Back in service 10/2021
My Indo Airlines,PK-MYJ,Boeing 737 (737-436SF),25857 (2451),New,Delivery 22/10/2021
Myanmar Airways International,XY-AGV,Airbus A319 (319-111),1247,Update,Back in service 10/2021
Myanmar Airways International,XY-ALT,Airbus A320 (320-214),5933,New,Delivery 01/11/2021
Myanmar Airways International,XY-AMT,ATR 42/72 (72-600),1474,Update,Stored 10/2021 as OE-LKU
Myanmar Airways International,XY-ALU,Embraer 190/195 (190LR),543,New,Delivery 01/11/2021
MyWay Airlines,4L-MWA,Boeing 737 NG / Max (737-8AL),35073 (2197),New,Delivery 04/11/2021  Ex Badr Airlines 4L-MWA
NasAir,E3-NAM,Boeing 737 (737-2T5),22632 (847),Delete,To Canadian Airways Congo as TN-AIX 20/07/2021
National Jet Systems,VH-NXE,Boeing 717 (717-23S),55063 (5034),Update,Back in service 11/2021
Neos,I-NEOU,Boeing 737 NG / Max (737-86N),29887 (1263),Update,Back in service 10/2021
NewGen Airways,HS-NGC,Boeing 737 (737-4Q3),26603 (2618),Delete,To iAero Airways as N263LM 14/10/2021
Nok Air,HS-DBQ,Boeing 737 NG / Max (737-86J),37794 (4991),Update,Back in service 10/2021
Nok Air,HS-DBY,Boeing 737 NG / Max (737-88L),61299 (6426),Update,Back in service 10/2021
Nok Air,HS-DBZ,Boeing 737 NG / Max (737-88L),61300 (6585),Update,Back in service 11/2021
Nok Air,HS-DQC,Dash 8 (DHC-8 402),4479,Update,Parked since 10/2021
Nok Air,HS-DQE,Dash 8 (DHC-8 402),4504,Update,Parked since 09/2021
Nok Air,HS-DQH,Dash 8 (DHC-8 402),4530,Update,Parked since 09/2021
Nolinor Aviation,C-FHNM,Boeing 737 NG / Max (737-8Q8),30631 (1047),New,Delivery 08/10/2021
Nordwind Airlines,VP-BUJ,Airbus A330 (330-302),1391,New,Delivery 29/10/2021  Ex Jet Airways VT-JWU
Northern Air Cargo,N360WA,Boeing 737 (737-301SF),23553 (1406),Update,Parked since 10/2021
Norwegian Air Norway,LN-NIB,Boeing 737 NG / Max (737-86J),36879 (3805),New,Delivery 17/09/2021
Norwegian Air Shuttle,LN-NIE,Boeing 737 NG / Max (737-8JP),39435 (4330),Delete,To Norwegian Air Shuttle AOC as LN-NIE 31/10/2021
Norwegian Air Shuttle AOCLN-DYM,LN-NIE,Boeing 737 NG / Max (737-8JP),39435 (4330),New,Delivery 31/10/2021  Ex Norwegian Air Shuttle LN-NIE
Olympus Airways,SX-ACP,Airbus A321 (321-231),1015,New,Delivery 02/11/2021  Ex Alexandria Airlines SX-ACP
Oman Air,A4O-DD,Airbus A330 (330-343X),1063,Update,Back in service 11/2021
Oman Air,A4O-DF,Airbus A330 (330-243),1120,Update,Back in service 10/2021
Oman Air,A4O-MB,Boeing 737 NG / Max (737-8MAX) 43295 (6825),Update,Back in service 10/2021,
Pacific Airlines,VN-A568,Airbus A320 (320-232),7725,Update,Back in service 11/2021
Pakistan International Airlines,AP-BOK,Airbus A320 (320-214),7784,New,Delivery 18/10/2021
PAL Airlines,C-GXNL,Dash 8 (DHC-8 402),4014,New,Delivery 06/10/2021
PAL Express,RP-C8609,Airbus A320 (320-214),3273,Update,Back in service 10/2021
PAL Express,RP-C5909,Dash 8 (DHC-8 402NG),4582,Update,Back in service 11/2021
Pan Europeenne Air Service,F-HBPE,Embraer 135/145 (145LR),106,Update,Back in service 11/2021
Panaviatic,ES-FOX,Embraer 135/145 (145EJ),1206,Delete,To Union Aviation as YL-ONE 01/11/2021
Panorama Foxed Wings,C-GZGA,Beech 1900D (),UE306,New,Delivery 21/09/2021  Ex Air Georgian C-GZGA
Peach Aviation,JA806P,Airbus A320 (320-214),5384,Delete,To Allegiant Air as N203NV 13/11/2021
Peach Aviation,JA810P,Airbus A320 (320-214),5724,Delete,To Allegiant Air as N205NV 11/11/2021
Pegasus Airlines,TC-AVP,Boeing 737 NG / Max (737-82R),38175 (3877),On order,Stored 09/2021
Penske Jet Inc,N500PR,Canadair RJ (CRJ-200ER),7846,Update,Parked since 10/2021
Peoples Liberation Army Air Force,B-4091,Airbus A319 (319-115),5088,Update,Back in service 11/2021
Peoples Liberation Army Air Force,B-4005,Canadair RJ (CRJ-200BLR),7138,Update,Parked since 10/2021
Philippine Airlines,RP-C8766,Airbus A330 (330-343E),1566,Update,Back in service 11/2021
Philippine Airlines,RP-C7779,Boeing 777 (777-3F6ER),61731 (1455),Update,Back in service 10/2021
Philippines AirAsia,RP-C8965,Airbus A320 (320-216),3223,Update,Back in service 11/2021
Piedmont,N625AE,Embraer 135/145 (145LR),115,Update,Back in service 10/2021
Piedmont,N629AE,Embraer 135/145 (145LR),130,Update,Parked since 10/2021
Piedmont,N634AE,Embraer 135/145 (145LR),150,Update,Back in service 10/2021
Piedmont,N637AE,Embraer 135/145 (145LR),170,Update,Parked since 10/2021
Piedmont,N645AE,Embraer 135/145 (145LR),212,Update,Parked since 10/2021
Piedmont,N600BP,Embraer 135/145 (145LR),44,Update,Back in service 11/2021
Piedmont,N660CL,Embraer 135/145 (145LR),764,Update,Back in service 11/2021
Piedmont,N690AE,Embraer 135/145 (145LR),858,Update,Back in service 11/2021
Piedmont,N907AE,Embraer 135/145 (145LR),895,Update,Back in service 11/2021
Polish Government,0112,Boeing 737 NG / Max (737-8TV(BBJ2)),63990 (7297),New,Delivery 29/10/2021
Porter Airlines,C-GLQB,Dash 8 (DHC-8 402),4130,Update,Back in service 10/2021
Porter Airlines,C-GLQF,Dash 8 (DHC-8 402),4193,Update,Back in service 11/2021
Private,P4-ACC,Boeing 737 NG / Max (737-74Q(BBJ)),29135 (206),Update,Parked since 09/2021
Private,VT-CMR,Embraer 135/145 (135BJ),1094,New,Delivery 01/11/2021  Ex Krishnapatnam port company VT-CKP
Private,N650RJ,Embraer 135/145 (145EJ),1175,Update,Back in service 11/2021
PSA Airlines,N719PS,Canadair RJ (CRJ-700),10177,Update,Parked since 09/2021
PSA Airlines,N720PS,Canadair RJ (CRJ-700),10178,Update,Parked since 10/2021
Qantas,VH-EBM,Airbus A330 (330-202),1061,Update,Back in service 11/2021
Qantas,VH-VYG,Boeing 737 NG / Max (737-838),33995 (1736),Update,Back in service 10/2021
Qantas,VH-VZV,Boeing 737 NG / Max (737-838),34189 (3856),Update,Back in service 11/2021
Qantas,VH-XZB,Boeing 737 NG / Max (737-838),39360 (4192),Update,Back in service 11/2021
Qatar Airways,A7-LAG,Airbus A320 (320-214),6717,Update,Back in service 11/2021
Qatar Airways,A7-LAH,Airbus A320 (320-214),6811,Update,Back in service 11/2021
Qatar Airways,A7-ACG,Airbus A330 (330-202),743,Update,Back in service 11/2021
Qatar Airways,A7-ACK,Airbus A330 (330-202),792,Update,Back in service 10/2021
Qatar Airways,A7-AMF,Airbus A350 (350-941),172,Update,Parked since 09/2021
Qatar Airways,A7-AMG,Airbus A350 (350-941),207,Update,Parked since 10/2021
Qatar Airways,A7-ALA,Airbus A350 (350-941),6,Update,Back in service 11/2021
Qatar Airways,A7-ALB,Airbus A350 (350-941),7,Update,Back in service 11/2021
Qatar Amiri Flight,A7-AAH,Airbus A340 (340-313X),528,Update,Back in service 11/2021
Qeshm Air,EP-FQU,BAe 146 / Avro RJ (Bae Avro RJ100),3374,Update,Parked since 08/2021
QinetiQ,G-ETPL,BAe 146 / Avro RJ (Bae Avro RJ100),3368,Update,Parked since 10/2021
Ravn Alaska,N883EA,Dash 8 (DHC-8 102A),260,Update,Parked since 10/2021
Red Wings Airlines,VP-BWW,Airbus A320 (320-232),2372,Update,Back in service 10/2021
Red Wings Airlines,VP-BRB,Airbus A321 (321-231),1045,Update,Returned to lessor 10/2021
Republic Airways,N873RW,Embraer 170/175 (170SU),144,Update,Parked since 10/2021
Republic Airways,N874RW,Embraer 170/175 (170SU),148,Update,Parked since 09/2021
Republic Airways,N357FC,Embraer 170/175 (170LR),18,Update,Parked since 10/2021
REX Regional Express,VH-RYU,Boeing 737 NG / Max (737-8FE),33794 (1373),Update,Back in service 10/2021
REX Regional Express,VH-RQC,Boeing 737 NG / Max (737-8FE),33797 (1389),Update,Back in service 11/2021
REX Regional Express,VH-RQG,Boeing 737 NG / Max (737-8FE),34168 (1697),Update,Back in service 11/2021
REX Regional Express,VH-PAG,Boeing 737 NG / Max (737-8FE),37821 (3288),Update,Back in service 11/2021
REX Regional Express,VH-ZRN,Saab 340 (340B),393,Update,Back in service 11/2021
REX Regional Express,VH-ZRK,Saab 340 (340B),397,Update,Back in service 10/2021
Rossiya,EI-XLJ,Boeing 747 (747-446),27646 (1280),Update,Parked since 10/2021
Rossiya,RA-89014,Sukhoi SuperJet 100 (100-95B),95025,New,Delivery 01/08/2021  Ex Aeroflot RA-89014
Rossiya,RA-89017,Sukhoi SuperJet 100 (100-95B),95035,New,Delivery 23/10/2021
Rossiya,RA-89101,Sukhoi SuperJet 100 (100-95B),95139,New,Delivery 01/07/2021  Ex Aeroflot RA-89101
Rossiya,RA-89103,Sukhoi SuperJet 100 (100-95B),95142,New,Delivery 11/09/2021  Ex Aeroflot RA-89103
Rossiya,RA-89125,Sukhoi SuperJet 100 (100-95B),95188,New,Delivery 23/10/2021
Royal Air Maroc,CN-ROJ,Boeing 737 NG / Max (737-85P),33979 (1963),Update,Back in service 10/2021
Royal Air Philippines,RP-C9388,Airbus A319 (319-133),3463,Update,Back in service 11/2021
Royal Brunei Airlines,9M-LGD,ATR 42/72 (72-600),1579,Delete,To Malindo Air as 9M-LGD 25/03/2020
Royal Flight Oman,A4O-HMS,Boeing 747 (747-8H0(BBJ)),39749 (1466),Update,Back in service 10/2021
Royal Jet,A6-RJV,Boeing 737 NG / Max (737-77W(BBJ)),62467 (5564),Update,Back in service 11/2021
Royal Saudi Air Force,HZ-101,Boeing 737 NG / Max (737-7DP(BBJ)),32805 (940),Update,Back in service 11/2021
RPLS 2020,N702SJ,Canadair RJ (CRJ-200),8079,Update,Parked since 10/2021
RVR Aviation,N234BZ,Embraer 135/145 (135LR),388,Update,Parked since 10/2021
Ryanair,EI-DAR,Boeing 737 NG / Max (737-8AS),33552 (1371),Update,Stored 11/2021
Ryanair,EI-DPM,Boeing 737 NG / Max (737-8AS),33640 (2198),Delete,To Ryanair UK as G-RUKH 28/10/2021
Ryanair,EI-DWI,Boeing 737 NG / Max (737-8AS),33643 (2410),Update,Damaged 21 Oct 2021 at STN  (tug dammage on plane)
Ryanair,EI-DLJ,Boeing 737 NG / Max (737-8AS),34177 (1899),Delete,To Ryanair UK as G-RUKF 04/11/2021
Ryanair,EI-DYM,Boeing 737 NG / Max (737-8AS),36575 (2626),Delete,To Ryanair UK as G-RUKG 12/11/2021
Ryanair,EI-HAW,Boeing 737 NG / Max (737-8MAX 200),65078 (7559),New,Delivery 16/11/2021
Ryanair,EI-HAX,Boeing 737 NG / Max (737-8MAX 200),65080 (7607),New,Delivery 13/11/2021
Ryanair Sun,SP-RZD,Boeing 737 NG / Max (737-8MAX 200),62319 (7890),New,Delivery 10/11/2021
Ryanair UK,G-RUKH,Boeing 737 NG / Max (737-8AS),33640 (2198),New,Delivery 28/10/2021  Ex Ryanair EI-DPM
Ryanair UK,G-RUKF,Boeing 737 NG / Max (737-8AS),34177 (1899),New,Delivery 04/11/2021  Ex Ryanair EI-DLJ
Ryanair UK,G-RUKG,Boeing 737 NG / Max (737-8AS),36575 (2626),New,Delivery 12/11/2021  Ex Ryanair EI-DYM
S7 Airlines,VQ-BYJ,Airbus A321 (321-271NX),10499,New,Delivery 01/11/2021
S7 Airlines,VP-BDF,Boeing 737 NG / Max (737-8Q8),30672 (1497),Update,Back in service 11/2021
Samco Aviation,VP-CFA,Embraer 135/145 (135BJ),1120,Delete,To Union Aviation as YL-REX 03/11/2021
SAS Ireland,EI-SIC,Airbus A320 (320-251N),7979,New,Delivery 28/10/2021  Ex SAS Scandinavian Airlines SE-DYM
SAS Scandinavian AirlinesOY-KAW,OY-KAR,Airbus A320 (320-232),3159,Update,Back in service 11/2021
SAS Scandinavian AirlinesSE-DYM,OY-KBB,Airbus A321 (321-232),1642,Update,Back in service 11/2021
SAS Scandinavian AirlinesSE-DYM,LN-RKR,Airbus A330 (330-343E),1660,Update,Back in service 10/2021
SAS Scandinavian AirlinesSE-DYM,LN-RRT,Boeing 737 NG / Max (737-883),28326 (1036),Update,Back in service 10/2021
SAS Scandinavian AirlinesSE-DYM,SE-RES,Boeing 737 NG / Max (737-7BX),30737 (687),Update,Stored 11/2021
SAS Scandinavian AirlinesSE-DYM,SE-RET,Boeing 737 NG / Max (737-76N),32734 (1090),Update,In service
SAS Scandinavian AirlinesSE-DYM,EC-JZV,Canadair RJ (CRJ-900ER),15117,Update,Parked since 10/2021
SATA Air Acores,CS-TRB,Dash 8 (DHC-8 202),476,Update,Parked since 09/2021
SATENA,HK-4949,ATR 42/72 (42-500),621,Delete,To interCaribbean as VQ-THM 08/08/2021
Saudi Arabian Airlines,HZ-ASE,Airbus A320 (320-214),4408,Update,Parked since 10/2021
Saudi Arabian Airlines,HZ-AS39,Airbus A320 (320-214),4442,Update,Parked since 10/2021
Saudi Arabian Airlines,HZ-AQA,Airbus A330 (330-343X),1108,Update,Parked since 09/2021
Saudi Arabian Airlines,HZ-AQH,Airbus A330 (330-343X),1189,Update,Parked since 09/2021
Saudi Arabian Airlines,HZ-AQI,Airbus A330 (330-343E),1454,Update,Parked since 10/2021
Saudi Arabian Airlines,HZ-AQ15,Airbus A330 (330-343E),1734,Update,Parked since 10/2021
Saudi Arabian Airlines,TF-AAK,Boeing 747 (747-428),32868 (1325),Delete,To Air Atlanta Icelandic as TF-AAK 22/10/2021
Saudi Arabian Airlines,HZ-AK27,Boeing 777 (777-368ER),42265 (1311),Update,Parked since 10/2021
Saudi Arabian Airlines,HZ-ARC,Boeing 787 (787-9),41546 (383),Update,Back in service 11/2021
Saudi Arabian Airlines,HZ-ARF,Boeing 787 (787-9),41549 (547),Update,Parked since 10/2021
Saudi Arabian Gvmt,HZ-MF6,Boeing 737 NG / Max (737-9FG(BBJ)),39318 (3399),Update,Parked since 10/2021
Saudi Royal Flight,HZ-HM1,Boeing 747 (747-468),28343 (1265),Update,Parked since 09/2021
SaudiGulf Airlines,VP-CGX,Airbus A320 (320-232),6474,Update,Stored 11/2021
SCAT Airlines,UP-B3723,Boeing 737 (737-522),26684 (2388),Update,Parked since 03/2021
SCM,P4-RLA,Airbus A319 (319-133X(CJ)),4319,Update,Parked since 08/2021
Scoot,9V-TRX,Airbus A320 (320-232),5662,Update,Back in service 11/2021
Scoot,9V-OJG,Boeing 787 (787-9),37128 (693),Update,Back in service 11/2021
Sepehran Airlines,EP-FSK,Boeing 737 (737-53C),24826 (2041),Update,Stored 10/2021
SF Airlines,B-220H,Boeing 767 (767-36NERBCF),30847 (902),Update,Parked since 09/2021
Shenzhen Airlines,B-5102,Boeing 737 NG / Max (737-97L),33644 (1750),Update,Parked since 09/2021
Shenzhen Airlines,B-5105,Boeing 737 NG / Max (737-97L),33646 (1764),Update,Parked since 10/2021
Sichuan Airlines,B-6518,Airbus A330 (330-243),1082,Update,Parked since 10/2021
Sierra American Corp,N465TW,Boeing 737 (737-205A),23465 (1226),Update,Back in service 11/2021
Silver Airways,N967AZ,ATR 42/72 (72-212AF),714,Delete,To Amazon Prime Air as N967AZ 09/11/2021
Silver Airways,N929AZ,ATR 42/72 (72-212A),727,New,Delivery 08/11/2021
Silver Airways,N929AZ,ATR 42/72 (72-212A),727,Delete,To Amazon Prime Air as N929AZ 09/11/2021
Silver Airways,N417XJ,Saab 340 (340B),417,Update,Parked since 09/2021
Silver Airways,N328AG,Saab 340 (340B),428,Update,Parked since 10/2021
Singapore Airlines,9V-SKS,Airbus A380 (380-841),85,Update,Back in service 11/2021
Singapore Airlines,9V-MGO,Boeing 737 NG / Max (737-8SA),44231 (5877),Update,Stored 05/2021
Singapore Airlines,9V-SVB,Boeing 777 (777-212ER),28525 (353),Delete,To Eastern Airlines as N827KW 05/11/2021
Singapore Airlines,9V-SWB,Boeing 777 (777-312ER),33377 (592),Update,Back in service 09/2021
Singapore Airlines,9V-SNA,Boeing 777 (777-312ER),42240 (1279),Update,Back in service 10/2021
Sino Jet,B-3281,Embraer 135/145 (135BJ),1222,Update,Back in service 10/2021
