Name,IATA Code,ICAO Code,Prefix,Fleet Size,Destinations,Callsign,Logo URL,Wikipedia URL
Airnet Express,-,USC,N,14,0,STAR CHECK,https://images.planefinder.net/api/logo/USC/w/256,https://en.wikipedia.org/wiki/AirNet_Express
Airnorth,TL,ANO,VH,12,16,TOPEND,https://images.planefinder.net/api/logo/ANO/w/256,http://www.airnorth.com.au/
Airshare,-,XSR,N,34,0,,https://images.planefinder.net/api/logo/XSR/w/256,http://www.execairshare.com/
AirSial,PF,SIF,AP,10,14,AIR SIAL,https://images.planefinder.net/api/logo/SIF/w/256,https://en.wikipedia.org/wiki/AirSial
AirSWIFT,T6,ATX,RP,5,6,AIRSWIFT,https://images.planefinder.net/api/logo/ATX/w/256,https://en.wikipedia.org/wiki/AirSWIFT
AirTanker,9L,TOW,G,2,0,TOWLINE,https://images.planefinder.net/api/logo/TOW/w/256,https://en.wikipedia.org/wiki/AirTanker_Services
Airtask,-,DCT,G,3,0,AIRTASK,https://images.planefinder.net/api/logo/DCT/w/256,http://www.directflight.co.uk/
AirX Charter,AX,AXY,9H,20,0,LEGEND,https://images.planefinder.net/api/logo/AXY/w/256,https://en.wikipedia.org/wiki/AirX_Charter
AIS Airlines,IS,PNX,PH,8,0,SPINNER,https://images.planefinder.net/api/logo/PNX/w/256,https://en.wikipedia.org/wiki/AIS_Airlines
AIX Connect,I5,IAD,VT,0,0,RED KNIGHT,https://images.planefinder.net/api/logo/IAD/w/256,http://en.wikipedia.org/wiki/AirAsia_India
AJet,VF,TKJ,TC,122,103,ANATOLIAN,https://images.planefinder.net/api/logo/TKJ/w/256,http://en.wikipedia.org/wiki/AnadoluJet
Akasa Air,QP,AKJ,VT,38,30,AKASA AIR,https://images.planefinder.net/api/logo/AKJ/w/256,https://en.wikipedia.org/wiki/Akasa_Air
Aklak Air,6L,AKK,C,0,0,AKLAK,https://images.planefinder.net/api/logo/AKK/w/256,http://en.wikipedia.org/wiki/Aklak_Air
Alaska Airlines,AS,ASA,N,321,143,ALASKA,https://images.planefinder.net/api/logo/ASA/w/256,http://en.wikipedia.org/wiki/Alaska_Airlines
Alaska Central Express,KO,AER,N,21,19,ACE AIR,https://images.planefinder.net/api/logo/AER/w/256,http://en.wikipedia.org/wiki/Alaska_Central_Express
AlbaStar,AP,LAV,EC,5,2,ALBASTAR,https://images.planefinder.net/api/logo/LAV/w/256,http://en.wikipedia.org/wiki/AlbaStar
Albatros Airlines,G2,GAL,YV,0,0,ALBATROS,https://images.planefinder.net/api/logo/GAL/w/256,https://en.wikipedia.org/wiki/Albatros_Airlines
Albawings,2B,AWT,,0,0,ALBAWINGS,https://images.planefinder.net/api/logo/AWT/w/256,https://en.wikipedia.org/wiki/Albawings
Alexandria Airlines,DQ,KHH,SU,1,0,,https://images.planefinder.net/api/logo/KHH/w/256,https://en.wikipedia.org/wiki/Alexandria_Airlines
Alidaunia,D4,LID,I,0,0,ALIDA,https://images.planefinder.net/api/logo/LID/w/256,https://en.wikipedia.org/wiki/Alidaunia
Alkan Air,-,AKN,C,23,0,ALKAN AIR,https://images.planefinder.net/api/logo/AKN/w/256,https://en.wikipedia.org/wiki/Alkan_Air
All Nippon Airways (ANA),NH,ANA,JA,221,174,ALL NIPPON,https://images.planefinder.net/api/logo/ANA/w/256,http://en.wikipedia.org/wiki/All_Nippon_Airways
Allegiant Air,G4,AAY,N,124,126,ALLEGIANT,https://images.planefinder.net/api/logo/AAY/w/256,http://en.wikipedia.org/wiki/Allegiant_Air
Alliance Air,9I,LLR,VT,11,39,ALLIED,https://images.planefinder.net/api/logo/LLR/w/256,https://en.wikipedia.org/wiki/Alliance_Air_(India)
Alliance Airlines,QQ,UTY,VH,82,31,UNITY,https://images.planefinder.net/api/logo/UTY/w/256,http://en.wikipedia.org/wiki/Alliance_Airlines
Allied Air,4W,AJK,5N,1,13,BAMBI,https://images.planefinder.net/api/logo/AJK/w/256,http://en.wikipedia.org/wiki/Allied_Air
