id,name,legal_name,trading_name,iata_code,icao_code,prefix,callsign,fleet_size,destinations_count,logo_url,wikipedia_url,website_url,hubs,alliance,employees,headquarters,founded,status_bucket,country_code,key_personnel,detailed_destinations
4394,Sky Prime Aviation,NULL,NULL,UY,SPD,HZ,SKYPRIME,4,7,https://images.planefinder.net/api/logo/SPD/w/256,https://en.wikipedia.org/wiki/Sky_Prime_Aviation,Sky Prime Aviation,King Khalid International Airport,,,Asia,2016 ( 2016 ),active,SA,,
4395,Sky Regional Airlines,NULL,NULL,KV,SKV,C,MAPLE,0,32,https://images.planefinder.net/api/logo/SKV/w/256,http://en.wikipedia.org/wiki/Sky_Regional_Airlines,skyregional.com,Montréal-Trudeau ; Toronto-Pearson,Star Alliance (affiliate),approx. 700,Asia,2010,active,SA,Kent Woodside - President and COO,
3100,Sky Service,NULL,NULL,,,,,,,,,,,,,Asia,,active,KZ,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
4049,Sky Taxi,NULL,NULL,,,,,3,,,,,,,,Europe,,active,PL,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
1642,Sky Vision Airlines,NULL,NULL,,,,,6,,,,,,,,Africa,,active,EG,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
2107,Sky Way,NULL,NULL,,,,,1,,,,,,,,Asia,,active,GE,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
2795,SkyAlps,NULL,NULL,,,,,13,,,,,,,,Europe,,defunct,IT,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
672,SkyBahamas Airlines,NULL,NULL,,,,,,,,,,,,,Americas,,active,BS,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
3670,SkyBird Air,NULL,NULL,,,,,,,,,,,,,Africa,,active,NG,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
1643,SkyBird Airlines,NULL,NULL,,,,,,,,,,,,,Africa,,active,EG,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
