Model,Make,Max Range nm,Cruise Speed kts,Capacity,Purchase Price,enhanced_manufacturer,enhanced_model,enhanced_iata_code,enhanced_icao_code,enhanced_type,enhanced_wtc,enhanced_engine_type,enhanced_engine_count,enhanced_thrust_per_engine_kn,enhanced_wingspan_m,enhanced_length_m,enhanced_height_m,enhanced_empty_weight_kg,enhanced_mtow_kg,enhanced_mzfw_kg,enhanced_max_payload_kg,enhanced_typical_c_seats,enhanced_typical_y_seats,enhanced_max_capacity,enhanced_max_range_nm,enhanced_cruise_speed_mach,enhanced_max_speed,enhanced_service_ceiling_ft,enhanced_min_takeoff_length_ft,enhanced_min_landing_length_ft,enhanced_surface_compatibility,enhanced_list_price_usd,enhanced_op_cost_per_hour,enhanced_lease_rate_monthly,enhanced_residual_value_trend,enhanced_carbon_intensity,enhanced_fuel_type,enhanced_noise_chapter,enhanced_saf_compatible,enhanced_production_start,enhanced_production_end,enhanced_total_built,enhanced_mro_availability,enhanced_cargo_volume_m3,enhanced_cockpit_crew,enhanced_exit_limit,enhanced_tail_height,enhanced_wing_area_m2,enhanced_fuselage_width_m,enhanced_cabin_width_m,enhanced_operating_empty_weight_kg,enhanced_fuel_capacity_l,enhanced_ceiling_ft,enhanced_range_nm,enhanced_takeoff_distance_ft,enhanced_powerplant,enhanced_avionics
SR22 G3 GTS Turbo,Cirrus,0,211,3,470000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR22 G5 GTS,Cirrus,376,184,3,1116000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR22 G6,Cirrus,376,184,3,900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR22T G3 GTS,Cirrus,0,181,3,340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR22T G5 GTS,Cirrus,249,213,3,908000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR22T G6,Cirrus,299,180,3,1087900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRV,Cirrus,760,159,3,111250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRV G2,Cirrus,760,159,3,118250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRV G3,Cirrus,760,159,3,121250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vision SF50,Cirrus,750,309,3,2900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vision SF50 G2,Cirrus,796,315,3,3600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vision SF50 G2+,Cirrus,796,315,3,3600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114B,Commander,541,160,3,185000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114TC,Commander,361,171,3,215000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Commander,541,160,3,255000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115TC,Commander,361,184,3,285000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top Cub CC18-180,Cub Crafters,555,112,1,285000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad TB20 GT,Daher-Socata,932,163,3,305000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad TB21 GT,Daher-Socata,730,164,3,345000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA 20-C1,Diamond,200,-,1,314000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA 40CS,Diamond,320,142,3,125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA 40NG,Diamond,642,-,3,524000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA 40XLT,Diamond,0,150,3,493500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA 62,Diamond,534,192,5,1315000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle 212 Single,Eagle Copters,387,120,9,5450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle 407 HP,Eagle Copters,305,132,6,2300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Praetor 500,Embraer,3109,466,7,20400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280C,Enstrom,214,98,2,114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280FX,Enstrom,214,102,2,570000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Enstrom,303,113,3,350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
