Model_ID,Source_URL,Bibliography
embraeremb110bandeirante,https://www.airliners.net/aircraft-data/embraer-emb-110-bandeirante/195,Airliners.net
embraeremb120brasilia,https://www.airliners.net/aircraft-data/embraer-emb120-brasilia/196,Airliners.net
embraeremb121xingu,https://www.airliners.net/aircraft-data/embraer-emb121-xingu/199,Airliners.net
embraererj135140legacy,https://www.airliners.net/aircraft-data/embraer-erj-135140-legacy/197,Airliners.net
embraererj145,https://www.airliners.net/aircraft-data/embraer-erj-145/198,Airliners.net
embraererj170175190195,https://www.airliners.net/aircraft-data/embraer-erj-170175190195/406,Airliners.net
enstromf28280480,https://www.airliners.net/aircraft-data/enstrom-f-28280480/200,Airliners.net
ercoercoupeandderivatives,https://www.airliners.net/aircraft-data/erco-ercoupe-and-derivatives/393,Airliners.net
eurocopteras332superpuma,https://www.airliners.net/aircraft-data/eurocopter-as-332-super-puma/203,Airliners.net
eurocopteras350ecureuil,https://www.airliners.net/aircraft-data/eurocopter-as-350-ecureuil/202,Airliners.net
eurocopteras355ecureuil2,https://www.airliners.net/aircraft-data/eurocopter-as-355-ecureuil-2/201,Airliners.net
eurocopteras365ndauphin2ec155,https://www.airliners.net/aircraft-data/eurocopter-as-365n-dauphin-2-ec-155/204,Airliners.net
eurocopterbo105ecsuperfive,https://www.airliners.net/aircraft-data/eurocopter-bo-105-ec-super-five/205,Airliners.net
eurocopterec120colibri,https://www.airliners.net/aircraft-data/eurocopter-ec-120-colibri/207,Airliners.net
eurocopterec135635,https://www.airliners.net/aircraft-data/eurocopter-ec-135635/206,Airliners.net
eurocopterkawasakibk117,https://www.airliners.net/aircraft-data/eurocopterkawasaki-bk-117/208,Airliners.net
extra230300200,https://www.airliners.net/aircraft-data/extra-230-300-200/209,Airliners.net
fairchildaerospacemetroiiiii23,https://www.airliners.net/aircraft-data/fairchild-aerospace-metro-ii-iii-23/215,Airliners.net
fairchilddornier328jet,https://www.airliners.net/aircraft-data/fairchild-dornier-328jet/213,Airliners.net
fairchilddornier728,https://www.airliners.net/aircraft-data/fairchild-dornier-728/214,Airliners.net
fairchildswearingenmerlin,https://www.airliners.net/aircraft-data/fairchild-swearingen-merlin/210,Airliners.net
ffaas202bravo,https://www.airliners.net/aircraft-data/ffa-as-202-bravo/216,Airliners.net
fokker100,https://www.airliners.net/aircraft-data/fokker-100/221,Airliners.net
fokker50,https://www.airliners.net/aircraft-data/fokker-50/218,Airliners.net
fokker70,https://www.airliners.net/aircraft-data/fokker-70/220,Airliners.net
fokkerf27fairchildf27fh227,https://www.airliners.net/aircraft-data/fokker-f-27-fairchild-f-27-fh-227/217,Airliners.net
fokkerf28fellowship,https://www.airliners.net/aircraft-data/fokker-f-28-fellowship/219,Airliners.net
fujifa200aerosubaru,https://www.airliners.net/aircraft-data/fuji-fa200-aero-subaru/222,Airliners.net
gafn22n24nomad,https://www.airliners.net/aircraft-data/gaf-n22-n24-nomad/223,Airliners.net
gippslandga200fatman,https://www.airliners.net/aircraft-data/gippsland-ga-200-fatman/225,Airliners.net
gippslandga8airvan,https://www.airliners.net/aircraft-data/gippsland-ga-8-airvan/227,Airliners.net
grobg115,https://www.airliners.net/aircraft-data/grob-g-115/228,Airliners.net
grobgf200,https://www.airliners.net/aircraft-data/grob-gf-200/229,Airliners.net
grummanamericanaa1,https://www.airliners.net/aircraft-data/grumman-american-aa-1/234,Airliners.net
grummanamericanaa5,https://www.airliners.net/aircraft-data/grumman-american-aa-5/235,Airliners.net
grummang1159gulfstreamiiiii,https://www.airliners.net/aircraft-data/grumman-g-1159-gulfstream-iiiii/237,Airliners.net
grummang159gulfstreami,https://www.airliners.net/aircraft-data/grumman-g-159-gulfstream-i/236,Airliners.net
grummang164agcat,https://www.airliners.net/aircraft-data/grumman-g-164-ag-cat/14,Airliners.net
grummang21goose,https://www.airliners.net/aircraft-data/grumman-g-21-goose/230,Airliners.net
grummang44widgeon,https://www.airliners.net/aircraft-data/grumman-g-44-widgeon/231,Airliners.net
grummang64111albatross,https://www.airliners.net/aircraft-data/grumman-g-64111-albatross/233,Airliners.net
grummang73mallard,https://www.airliners.net/aircraft-data/grumman-g-73-mallard/232,Airliners.net
gulfstreamaerospacegivgulfstreamiv,https://www.airliners.net/aircraft-data/gulfstream-aerospace-g-iv-gulfstream-iv/238,Airliners.net
gulfstreamaerospacegvgulfstreamv,https://www.airliners.net/aircraft-data/gulfstream-aerospace-g-v-gulfstream-v/239,Airliners.net
gulfstreamaerospacejetpropturbocommander,https://www.airliners.net/aircraft-data/gulfstream-aerospace-jetprop-turbo-commander/344,Airliners.net
handleypageherald,https://www.airliners.net/aircraft-data/handley-page-herald/240,Airliners.net
harbiny1112,https://www.airliners.net/aircraft-data/harbin-y-1112/241,Airliners.net
hawkersiddeleyhs125123400600,https://www.airliners.net/aircraft-data/hawker-siddeley-hs-125-123400600/242,Airliners.net
hawkersiddeleyhs748,https://www.airliners.net/aircraft-data/hawker-siddeley-hs-748/57,Airliners.net
heliocourier,https://www.airliners.net/aircraft-data/helio-courier/243,Airliners.net
hilleruh12,https://www.airliners.net/aircraft-data/hiller-uh12/244,Airliners.net
hindustanadvancedlighthelicopter,https://www.airliners.net/aircraft-data/hindustan-advanced-light-helicopter/245,Airliners.net
hondaha420hondajet,https://www.airliners.net/aircraft-data/honda-ha-420-hondajet/401,Airliners.net
iaiarava,https://www.airliners.net/aircraft-data/iai-arava/246,Airliners.net
iaiwestwind,https://www.airliners.net/aircraft-data/iai-westwind/247,Airliners.net
ilyushinil103,https://www.airliners.net/aircraft-data/ilyushin-il-103/255,Airliners.net
ilyushinil114,https://www.airliners.net/aircraft-data/ilyushin-il-114/256,Airliners.net
ilyushinil14,https://www.airliners.net/aircraft-data/ilyushin-il-14/248,Airliners.net
ilyushinil18,https://www.airliners.net/aircraft-data/ilyushin-il-18/249,Airliners.net
ilyushinil62,https://www.airliners.net/aircraft-data/ilyushin-il-62/250,Airliners.net
ilyushinil76,https://www.airliners.net/aircraft-data/ilyushin-il-76/251,Airliners.net
ilyushinil86,https://www.airliners.net/aircraft-data/ilyushin-il-86/252,Airliners.net
ilyushinil96300,https://www.airliners.net/aircraft-data/ilyushin-il-96-300/253,Airliners.net
ilyushinil96mil96t,https://www.airliners.net/aircraft-data/ilyushin-il-96m-il-96t/254,Airliners.net
iptnn250,https://www.airliners.net/aircraft-data/iptn-n-250/257,Airliners.net
israeliai1125astragulfstreamg100,https://www.airliners.net/aircraft-data/israel-iai-1125-astragulfstream-g100/224,Airliners.net
israeliai1126galaxygulfstreamg200,https://www.airliners.net/aircraft-data/israel-iai-1126-galaxygulfstream-g200/226,Airliners.net
kamank1200kmax,https://www.airliners.net/aircraft-data/kaman-k-1200-k-max/258,Airliners.net
kamovka26ka226,https://www.airliners.net/aircraft-data/kamov-ka26-ka-226/259,Airliners.net
kamovka32,https://www.airliners.net/aircraft-data/kamov-ka32/260,Airliners.net
kestrelk250,https://www.airliners.net/aircraft-data/kestrel-k250/261,Airliners.net
lakela4buccaneerrenegade,https://www.airliners.net/aircraft-data/lake-la4-buccaneer-renegade/262,Airliners.net
lancairlc40columbia300350400,https://www.airliners.net/aircraft-data/lancair-lc-40-columbia-300350400/263,Airliners.net
learjet2324252829,https://www.airliners.net/aircraft-data/lear-jet-2324252829/264,Airliners.net
learjet313536,https://www.airliners.net/aircraft-data/learjet-313536/265,Airliners.net
letl200morava,https://www.airliners.net/aircraft-data/let-l-200-morava/267,Airliners.net
letl40metasokol,https://www.airliners.net/aircraft-data/let-l-40-metasokol/266,Airliners.net
letl410l420,https://www.airliners.net/aircraft-data/let-l-410-l-420/50,Airliners.net
letl610,https://www.airliners.net/aircraft-data/let-l-610/51,Airliners.net
lockheedjetstar,https://www.airliners.net/aircraft-data/lockheed-jetstar/269,Airliners.net
lockheedl100hercules,https://www.airliners.net/aircraft-data/lockheed-l-100-hercules/270,Airliners.net
lockheedl1011tristar150100150200250,https://www.airliners.net/aircraft-data/lockheed-l-1011-tristar-150100150200250/271,Airliners.net
lockheedl1011tristar500,https://www.airliners.net/aircraft-data/lockheed-l-1011-tristar-500/272,Airliners.net
lockheedl188electra,https://www.airliners.net/aircraft-data/lockheed-l-188-electra/268,Airliners.net
luscombemodel8silvaire,https://www.airliners.net/aircraft-data/luscombe-model-8-silvaire/273,Airliners.net
luscombespartan,https://www.airliners.net/aircraft-data/luscombe-spartan/274,Airliners.net
maulem4tom7,https://www.airliners.net/aircraft-data/maule-m-4-to-m-7/275,Airliners.net
mcdonnelldouglasdc10boeingmd10,https://www.airliners.net/aircraft-data/mcdonnell-douglas-dc-10-boeing-md-10/279,Airliners.net
mcdonnelldouglasdc9102030,https://www.airliners.net/aircraft-data/mcdonnell-douglas-dc-9-102030/276,Airliners.net
mcdonnelldouglasdc94050,https://www.airliners.net/aircraft-data/mcdonnell-douglas-dc-9-4050/277,Airliners.net
mcdonnelldouglasmd11,https://www.airliners.net/aircraft-data/mcdonnell-douglas-md-11/112,Airliners.net
mcdonnelldouglasmd81828388,https://www.airliners.net/aircraft-data/mcdonnell-douglas-md-81828388/109,Airliners.net
mcdonnelldouglasmd87,https://www.airliners.net/aircraft-data/mcdonnell-douglas-md-87/278,Airliners.net
mcdonnelldouglasmd90,https://www.airliners.net/aircraft-data/mcdonnell-douglas-md-90/110,Airliners.net
mdhelicoptersmd500530,https://www.airliners.net/aircraft-data/md-helicopters-md-500530/113,Airliners.net
mdhelicoptersmd520n,https://www.airliners.net/aircraft-data/md-helicopters-md-520n/114,Airliners.net
mdhelicoptersmd600n,https://www.airliners.net/aircraft-data/md-helicopters-md-600n/115,Airliners.net
